id,name,lat,lon
1,Adolfo Alsina,-37.1678844315518,-63.21760537360015
2,Adolfo Gonzales Chaves,-37.965422624489065,-59.867956196079064
3,Alberti,-35.034876827964354,-60.36154039262861
4,Almirante Brown,-34.80258488911322,-58.362587147953754
5,Ameghino,-34.855251931390576,-62.30080813820018
6,Arrecifes,-34.072231033550835,-60.0401996895862
7,Avellaneda,-34.659222795702384,-58.35390953258398
8,Ayacucho,-36.9293229690317,-58.817480654486815
9,Azul,-36.89788404694416,-59.627887456820126
10,Bahía Blanca,-38.74902177936623,-62.335142091574404
11,Balcarce,-37.750858829022256,-58.351040899403884
12,Baradero,-33.80675018420942,-59.405478740576136
13,Benito Juárez,-37.76361091842659,-59.8057606429432
14,Berazategui,-34.761817767974534,-58.120151786321244
15,Berisso,-34.86514317018869,-57.84985482492709
16,Bolívar,-36.18436051462903,-60.819374248171265
17,Bragado,-34.855830188428,-60.5321344220572
18,Brandsen,-35.186654082998814,-58.14112866645067
19,Cañuelas,-34.909090705033236,-58.67738378155408
20,Campana,-34.17692599190627,-58.8263017015156
21,Capitán Sarmiento,-34.08583529122086,-59.87213364314757
22,Carlos Casares,-35.739254768713835,-61.4276141271376
23,Carlos Tejedor,-35.36189639992051,-62.57524668874809
24,Carmen de Areco,-34.400589727067356,-59.89149691711319
25,Castelli,-35.998922613100056,-57.36265333720325
26,Chacabuco,-34.69168127625066,-60.52715017190678
27,Chascomús,-35.74348517546134,-57.63549621054473
28,Chivilcoy,-34.987885835028074,-59.93671374761439
29,Colón,-33.88971485178992,-61.05587512491246
30,Coronel de Marina Leonardo Rosales,-38.88666217156462,-62.10082854763303
31,Coronel Dorrego,-38.941246592439754,-60.74487943027575
32,Coronel Pringles,-38.30630514805304,-61.3713889168078
33,Coronel Suárez,-37.55160362775683,-61.79053208233397
34,Daireaux,-36.68421807161441,-61.99728881878909
35,Dolores,-36.41907200266308,-57.66615472765696
36,Ensenada,-34.828469500183374,-57.954308930597186
37,Escobar,-34.37021601531191,-58.7210407927636
38,Esteban Echeverría,-34.777506794437386,-58.57275038631023
39,Exaltación de la Cruz,-34.33049888721486,-59.07386474495752
40,Florencio Varela,-34.81571741077903,-58.2672050947157
41,General Alvarado,-38.34874617114218,-58.00347013172101
42,General Alvear,-35.972870611834864,-60.32985992494597
43,General Arenales,-34.33603798094181,-61.204613755300215
44,General Belgrano,-35.72951570282031,-58.76032313837349
45,General Guido,-36.73699163492497,-57.965514528956916
46,General Juan Madariaga,-37.00177248890529,-56.99916165537087
47,General La Madrid,-37.278544567767014,-61.59715034808103
48,General Las Heras,-34.8343433743004,-59.074115750360775
49,General Lavalle,-36.3320899704015,-56.89139069258629
50,General Paz,-35.57700801784382,-58.46008481816212
51,General Pinto,-34.64663809649309,-62.00365359865742
52,General Pueyrredón,-38.11611945190097,-57.594869193131686
53,General Rodríguez,-34.66966185695701,-58.88234762227164
54,General San Martín,-34.53956924082611,-58.60161600768491
55,General Sarmiento,-34.56779731462689,-58.68114886260295
56,General Viamonte,-34.951790422060185,-60.986418344039485
57,General Villegas,-34.704052933393534,-63.06176687609166
58,Guaminí,-36.8887080207976,-62.17546679718754
59,Hipólito Yrigoyen,-36.23527756850363,-61.74278726884282
60,Junín,-34.41675048953443,-61.05831346311554
61,La Costa,-36.68625718853586,-56.724848607524585
62,La Matanza,-34.7764720186862,-58.5795992480277
63,La Plata,-34.953038239877785,-58.00124694100644
64,Lanús,-34.68113569396283,-58.40834184717622
65,Laprida,-37.48403885812048,-60.74441327738399
66,Las Flores,-35.858801802556904,-59.18211978959123
67,Leandro N. Alem,-34.45957194488504,-61.616800485364664
68,Lincoln,-34.926301460541964,-61.658682529794
69,Lobería,-38.49359955901797,-58.41987016676871
70,Lobos,-35.306322855165554,-59.32146364631419
71,Lomas de Zamora,-34.731474490800004,-58.47575472690838
72,Luján,-34.56904513244449,-59.1155674998131
73,Magdalena,-35.26986222722665,-57.30180245587055
74,Maipú,-36.860282122220866,-57.66615472765696
75,Mar Chiquita,-37.66570287161571,-57.38682157174552
76,Marcos Paz,-34.821454329281934,-58.74963747977765
77,Mercedes,-34.72432236428445,-59.49386850043771
78,Merlo,-34.6696314223761,-58.76701063947458
79,Monte Hermoso,-38.99402015575032,-61.21902863703018
80,Monte,-35.6130729962308,-58.848300532215426
81,Morón,-34.60486663418413,-58.6843402170158
82,Moreno,-34.65830975827487,-58.81099037191686
83,Navarro,-35.187019297969826,-59.56522575079249
84,Necochea,-38.62792258189638,-58.932638347710125
85,Nueve de Julio,-35.54537127098032,-61.012271900575065
86,Olavarría,-36.96461186560529,-60.42545712567253
87,Patagones,-40.24430317441303,-62.24431399350975
88,Pehuajó,-36.09439589343756,-61.81505889602376
89,Pellegrini,-36.28748809206723,-63.36568063256502
90,Pergamino,-33.63354698420919,-60.61855199660746
91,Pila,-35.95518812032192,-58.1547546740561
92,Pilar,-34.5181585131508,-58.83160867289877
93,Pinamar,-37.11695216038673,-56.85390124271397
94,Puán,-38.07191322311863,-62.9449597187898
95,Quilmes,-34.71096158326176,-58.23679758300673
96,Ramallo,-33.500319606243806,-60.07810150547816
97,Rauch,-36.64955308394963,-59.05247549880846
98,Rivadavia,-35.488321649050874,-63.19673606721498
99,Rojas,-34.20559536713036,-60.66466527497744
100,Roque Pérez,-35.471460891222705,-59.33727698671945
101,Saavedra,-38.005078883424275,-62.28180344338207
102,Saladillo,-35.64329453508166,-59.6925034192017
103,Salliqueló,-36.72719169986961,-62.97326954248582
104,Salto,-34.19226502068859,-60.27227211385563
105,San Andrés de Giles,-34.38187245980323,-59.43326862450827
106,San Antonio de Areco,-34.17059559907548,-59.41408464011641
107,San Cayetano,-38.751243503773196,-59.49915754286351
108,San Fernando (1),-34.22096483049358,-58.35347923760696
109,San Fernando (2),-34.45193286507481,-58.56032561884896
110,San Isidro,-34.47542836154294,-58.50031739851291
111,San Nicolás,-33.44238738146777,-60.27849346206495
112,San Pedro,-33.68820749153662,-59.655013969329374
113,San Vicente,-34.97610765221309,-58.423491816158574
114,Suipacha,-34.78984801699934,-59.704605465430205
115,Tandil,-37.178140885320914,-59.43491808858683
116,Tapalqué,-36.32956390018536,-60.164339790454676
117,Tigre,-34.38208550186965,-58.48486263725517
118,Tordillo,-36.27624251441829,-57.11458828295481
119,Tornquist,-38.11844769734114,-62.020488889633086
120,Trenque Lauquen,-36.15331724209341,-62.54263391528192
121,Tres Arroyos,-38.85278848300369,-60.04486121850385
122,Tres de Febrero,-34.567462534236796,-58.61721420060165
123,Tres Lomas,-36.41557202585759,-62.939778250108255
124,Veinticinco de Mayo,-35.49249118663654,-59.942988882695836
125,Vicente López,-34.524306298496086,-58.47403354700032
126,Villa Gesell,-37.389296007724994,-57.055135860297405
127,Villarino,-39.01486784367866,-62.18959481559949
128,Zárate,-33.90617996006617,-59.08279336573056
129,Calamuchita,-32.22177807919941,-64.76616528004321
130,Capital,-31.396240071818237,-64.17920707348168
131,Colón,-31.35137949954617,-64.40894873329228
132,Cruz del Eje,-30.794837535602362,-64.6614960268846
133,General Roca,-34.20238451884358,-64.59494373710649
134,General San Martín,-32.4074290227948,-63.20415865556846
135,Ischilín,-30.761892101759408,-64.12387831102066
136,Juárez Celman,-33.041563950787214,-64.0248208215206
137,Marcos Juárez,-32.7590093015512,-61.90305421882307
138,Minas,-30.93217358199158,-65.16074577396483
139,Pocho,-31.462359198861023,-65.1194553851289
140,Presidente Roque Sáenz Peña,-34.228451737399226,-63.39026123312692
141,Punilla,-30.8004527157816,-64.64152316836822
142,Rió Cuarto,-33.0415335162063,-64.25730561180967
143,Rió Primero,-31.274943049572425,-63.62484371142893
144,Rió Seco,-30.044442508505952,-62.696876735583984
145,Rió Segundo,-31.658494855582425,-63.435836642775634
146,San Alberto,-31.869923889214757,-65.14694047678564
147,San Javier,-32.09532239548812,-65.21284732409826
148,San Justo,-31.311266721897198,-62.67654529792008
149,Santa María,-31.6191733770373,-64.42547923199255
150,Sobremonte,-29.862367628168332,-63.907655085071234
151,Tercero Arriba,-32.17104363281031,-63.93860046550147
152,Totoral,-30.774202889740447,-64.12282050253549
153,Tulumba,-30.518263281516596,-63.38230077605217
154,Unión,-32.62208412200437,-62.89373668756778
155,Ambato,-28.00284516870355,-65.92446557129216
