id,name,lat,lon
1,Buenos Aires,-38.45043307412813,-60.782841030777725
2,Córdoba,-32.081118868115226,-63.55602717632128
3,Catamarca,-27.385722691133385,-66.63595268862576
4,Chaco,-25.928101028396913,-60.1893329047972
5,Chubut,-43.86543373574597,-65.38641395662378
6,Ciudad de Buenos Aires,-34.6158167362431,-58.386358659258896
7,Corrientes,-29.079249139050123,-58.16958895277635
8,Entre Ríos,-32.12885436297278,-59.31833708952804
9,Formosa,-25.051163020280462,-60.109402814789675
10,Jujuy,-23.701698105137297,-65.50143730903342
11,La Pampa,-38.31999186239586,-65.97016214380336
12,La Rioja,-29.59549485170185,-67.71992224583389
13,Mendoza,-34.717933401377714,-68.31509796370543
14,Misiones,-26.835839641992198,-54.598754071295886
15,Neuquén,-38.86482747098078,-69.9388985488768
16,Río Negro,-40.63011920468502,-65.58275996368951
17,Salta,-24.297637288974872,-65.26509004881268
18,San Juan,-30.941969382559716,-68.51672129990725
19,San Luis,-33.42873968868678,-66.37558347757083
20,Santa Cruz,-48.86524952771466,-67.45213503774404
21,Santa Fe,-31.164025744543366,-60.37249627115177
22,Santiago del Estero,-28.336253490562548,-63.81183099615447
23,Tierra del Fuego,-54.41660979523918,-66.27231254277186
24,Tucumán,-26.907740759017457,-65.51198220024318
