id,name,states,lon,lat
,Ashmore and Cartier Islands,Ashmore and Cartier Islands,123.0796,-12.2665
,Unincorporated Australian Capital Territory,Australian Capital Territory,149.0025,-35.48881
,Coral Sea Islands,Coral Sea Islands Territory,152.3983,-20.40571
,Jervis Bay,Jervis Bay Territory,150.6905,-35.15247
AU.NS.AL,Albury,New South Wales,146.9704,-36.0266
AU.NS.AD,Armidale Dumaresq,New South Wales,151.9576,-30.54611
AU.NS.AS,Ashfield,New South Wales,151.1307,-33.88569
AU.NS.AU,Auburn,New South Wales,151.0457,-33.85495
AU.NS.BA,Ballina,New South Wales,153.4862,-28.85291
AU.NS.BN,Balranald,New South Wales,143.6117,-33.95034
AU.NS.BS,Bankstown,New South Wales,151.0131,-33.92343
AU.NS.BT,Bathurst,New South Wales,149.5256,-33.43008
AU.NS.BV,Bega Valley,New South Wales,149.7176,-36.82595
AU.NS.BE,Bellingen,New South Wales,152.7286,-30.4038
AU.NS.BG,Berrigan,New South Wales,145.7112,-35.7343
AU.NS.BC,Blacktown,New South Wales,150.8643,-33.74133
AU.NS.BD,Bland,New South Wales,146.9612,-33.89435
AU.NS.BL,Blayney,New South Wales,149.142,-33.59434
AU.NS.BM,Blue Mountains,New South Wales,150.4111,-33.69754
AU.NS.BX,Bogan,New South Wales,146.8669,-31.53811
AU.NS.BO,Bombala,New South Wales,149.0404,-36.88355
AU.NS.BW,Boorowa,New South Wales,148.8513,-34.29365
AU.NS.BB,Botany Bay,New South Wales,151.2016,-33.94232
AU.NS.BQ,Bourke,New South Wales,145.3567,-29.91061
AU.NS.BR,Brewarrina,New South Wales,146.9608,-29.79157
AU.NS.BH,Broken Hill,New South Wales,141.4792,-31.94418
AU.NS.BU,Burwood,New South Wales,151.1031,-33.88369
AU.NS.BY,Byron,New South Wales,153.4825,-28.60418
AU.NS.CE,Cabonne,New South Wales,148.7541,-33.15298
AU.NS.CN,Camden,New South Wales,150.7239,-34.00876
AU.SA.CA,Campbelltown,New South Wales,150.8458,-34.08339
AU.NS.CC,Canada Bay,New South Wales,151.1148,-33.8535
AU.NS.CA,Canterbury,New South Wales,151.0929,-33.92359
AU.NS.CH,Carrathool,New South Wales,145.4964,-33.60903
AU.NS.CD,Central Darling,New South Wales,143.5898,-31.8508
AU.NS.CS,Cessnock,New South Wales,151.2248,-32.92512
,Clarence Valley,New South Wales,152.7511,-29.68174
AU.NS.CR,Cobar,New South Wales,145.483,-31.8681
AU.NS.CF,Coffs Harbour,New South Wales,153.0398,-30.18905
AU.NS.CG,Conargo,New South Wales,144.941,-35.16662
AU.NS.CO,Coolamon,New South Wales,147.1048,-34.63253
AU.NS.CM,Cooma-Monaro,New South Wales,149.2247,-36.06953
AU.NS.CJ,Coonamble,New South Wales,148.2916,-30.87052
AU.NS.CQ,Cootamundra,New South Wales,148.014,-34.58988
AU.NS.CV,Corowa,New South Wales,146.2629,-35.82766
AU.NS.CW,Cowra,New South Wales,148.7179,-33.79642
AU.NS.DE,Deniliquin,New South Wales,144.9732,-35.52909
AU.NS.DB,Dubbo,New South Wales,148.6642,-32.22521
AU.NS.DG,Dungog,New South Wales,151.6083,-32.34948
AU.NS.EU,Eurobodalla,New South Wales,149.947,-35.94516
AU.NS.FA,Fairfield,New South Wales,150.8954,-33.86564
AU.NS.FO,Forbes,New South Wales,147.8667,-33.42182
AU.NS.GG,Gilgandra,New South Wales,148.6907,-31.61903
,Glen Innes Severn,New South Wales,151.9031,-29.64501
AU.NS.GC,Gloucester,New South Wales,151.7952,-31.90581
AU.NS.GF,Gosford,New South Wales,151.2199,-33.37415
,Goulburn Mulwaree,New South Wales,149.8135,-34.87604
AU.NS.GL,Great Lakes,New South Wales,152.1536,-32.35602
,Greater Hume,New South Wales,147.1718,-35.7503
AU.NS.GT,Greater Taree,New South Wales,152.2812,-31.79207
