"id","name","lat","lon"
1,"State of Western Australia",-25.8483,121.646
2,"Northern Territory",-20.1026,133.78
3,"State of South Australia",-29.6504,135.783
4,"State of Queensland",-23.1364,144.778
5,"State of New South Wales",-32.4751,146.781
6,"Australian Capital Territory",-35.1532,150.692
7,"State of Victoria",-37.0082,144.75
8,"State of Tasmania",-42.1383,146.603
9,"unknown",-54.5929,158.898
10,"unknown",-31.586,159.076
11,"unknown",-12.4325,123.586
12,"Australian Capital Territory",-35.4618,148.983
