"id","name","lat","lon"
1,"Qazakh Rayon",41.0778,45.2004
2,"Aghstafa Rayon",41.1896,45.4341
3,"Tovuz Rayon",41.0669,45.8238
4,"Gadabay Rayon",40.492,45.6429
5,"Dashkasan Rayon",40.4837,46.0228
6,"Kalbacar Rayonu",40.0966,46.1688
7,"Lacin Rayonu",39.7717,46.3095
8,"Qubadli Rayon",39.3434,46.5917
9,"Zangilan Rayon",39.0904,46.6305
10,"Sharur Rayon",39.5929,45.0172
11,"Sadarak Rayon",39.699,44.8638
12,"Kangarli Rayon",39.4039,45.1447
13,"Babek Rayon",39.1871,45.3373
14,"Shahbuz Rayon",39.4227,45.5799
15,"Julfa Rayon",39.136,45.6847
16,"Ordubad Rayon",39.0972,45.9272
17,"Balakan Rayon",41.7393,46.4478
18,"Zaqatala Rayon",41.5666,46.654
19,"Khachmaz Rayon",41.5198,48.7701
20,"Qusar Rayon",41.4005,48.1944
21,"Oghuz Rayon",41.04,47.4853
22,"Shaki Rayon",41.0486,47.1565
23,"Qakh Rayon",41.375,46.7976
24,"Qabala Rayon",40.9578,47.7784
25,"Samukh Rayon",40.8795,46.4234
26,"Imishli Rayon",39.9121,48.0606
27,"Bilasuvar Rayon",39.4604,48.3681
28,"Jalilabad Rayon",39.1757,48.4338
29,"Yardymli Rayon",38.866,48.269
30,"Lerik Rayon",38.7139,48.4779
31,"Cabrayil Rayonu",39.2768,46.9823
32,"Fizuli Rayon",39.5574,47.322
33,"Beylagan Rayon",39.7591,47.6611
34,"Astara Rayon",38.4938,48.7049
35,"Davachi Rayon",41.1969,48.9074
36,"Siazan Rayon",41.0414,49.0973
37,"Khizi Rayon",40.7249,49.154
38,"Sumqayit City",40.5841,49.5962
39,"Baku City",40.4447,50.0435
40,"Salyan Rayon",39.7198,49.0495
41,"Neftchala Rayon",39.3924,49.0585
42,"Lankaran Rayon",38.7168,48.7309
43,"Masally Rayon",38.9858,48.698
44,"Lankaran Sahari",38.7585,48.8421
45,"Nakhchivan City",39.2127,45.4212
46,"Susa Rayonu",39.7027,46.658
47,"Xankandi Sahari",39.8925,46.6804
48,"Susa Sahari",39.7618,46.7523
49,"Aghdam Rayon",40.0455,46.9918
50,"Tartar Rayon",40.2547,46.7929
51,"Goranboy Rayon",40.5463,46.645
52,"Xocavand Rayonu",39.6307,46.99
53,"Hajigabul Rayon",40.1106,48.8984
54,"Absheron Rayon",40.3278,49.3694
55,"Goygol Rayon",40.4627,46.295
56,"Kurdamir Rayon",40.2443,48.1586
57,"Zardab Rayon",40.2395,47.6936
58,"Sabirabad Rayon",39.8179,48.8122
59,"Ali Bajramly",39.9474,48.9257
60,"Saatly Rayon",39.7892,48.4591
61,"Barda Rayon",40.3534,47.2467
62,"Shamkir Rayon",40.8317,46.0161
63,"Aghsu Rayon",40.5091,48.3659
64,"Shamakhi Rayon",40.3768,48.5986
65,"Quba Rayon",41.1847,48.3368
66,"Ujar Rayon",40.3925,47.729
67,"Gobustan Rayon",40.4977,48.9623
68,"Ismayilli Rayon",40.7896,48.1125
69,"Yevlakh Rayon",40.6958,46.9101
70,"Ganja City",40.6864,46.3206
71,"Mingacevir City",40.7508,46.9846
72,"Goychay Rayon",40.569,47.8172
73,"Aghdash Rayon",40.568,47.4132
74,"Aghjabadi Rayon",39.971,47.4145
75,"Xocali Rayonu",39.8285,46.7662
76,"Yevlakh City",40.6019,47.1503
77,"Naftalan City",40.5077,46.8275
78,"Saki Sahari",41.1882,47.1885
