id,name,lon,lat
BA.BR,Brčko,18.71797,44.83517
,Bosnian Podrinje,18.80579,43.67788
,Canton 10,16.85028,44.00148
,Central Bosnia,17.61486,44.11106
,Herzegovina-Neretva,17.83413,43.43091
,Posavina,18.46889,45.05837
BA.SA,Sarajevo,18.32039,43.83653
BA.TU,Tuzla,18.57439,44.55151
,Una-Sana,16.23199,44.7926
,West Herzegovina,17.45484,43.40142
BA.ZE,Zenica-Doboj,18.16429,44.29131
BA.BL,Banja Luka,17.12883,44.73839
,Bijeljina,19.06609,44.73915
BA.DO,Doboj,18.12371,44.8906
,Foča,18.87801,43.55043
,Istočno Sarajevo,18.80282,43.90404
,Trebinje,18.28775,43.05619
,Vlasenica,19.12816,44.23091
