id,name,lat,lon
1,Acrelândia,-10.00017176675787,-66.8625051706368
2,Assis Brazil,-10.954418179442662,-70.0438579650924
3,Brasiléia,-10.851905590111237,-68.91378732427744
4,Bujari,-9.544898625872673,-68.11965877311168
5,Capixaba,-10.428265557928015,-67.81694699848433
6,Cruzeiro do Sul,-8.023311837623249,-72.87995138542215
7,Epitaciolândia,-10.971243491171027,-68.43796600244244
8,Feijó,-9.273409659251165,-71.26482211498634
9,Jordão,-9.520155520389782,-72.16843875583898
10,Mâncio Lima,-7.613185347665297,-73.81175980977707
11,Manoel Urbano,-9.475655996836705,-70.04993619359217
12,Marechal Thaumaturgo,-9.437589680709179,-72.62346613806946
13,Plácido de Castro,-10.313838211648674,-67.31249402134772
14,Porto Acre,-9.726474953800967,-67.80894932940566
15,Porto Walter,-8.64615290210181,-73.02039045444346
16,Rio Branco,-10.157537917629057,-68.23906397245611
17,Rodrigues Alves,-7.8728737562872695,-73.55967328041764
18,Santa Rosa do Purus,-9.58460179359368,-70.60069567469424
19,Sena Madureira,-10.17961638098302,-69.48893969606942
20,Senador Guiomard,-10.011934258441276,-67.4279003861528
21,Tarauacá,-8.722590064885882,-71.41861729136902
22,Xapuri,-10.576495792928597,-68.64342612107326
23,Água Branca,-9.293051878372967,-37.96004879402301
24,Anadia,-9.656242600545681,-36.3389612601236
25,Arapiraca,-9.803863774488224,-36.584049829039195
26,Ataléia,-9.539226744769671,-36.086874730764166
27,Barra de São Miguel,-9.840140973757755,-35.8941708943138
28,Barra de Santo Antônio,-9.386238220253148,-35.49460734714385
29,Batalha,-9.73580120125221,-37.09278155913289
30,Belém,-9.546497411150028,-36.49611545751931
31,Belo Monte,-9.805957421875238,-37.223903343677556
32,Boca da Mata,-9.651103647868467,-36.132021572713214
33,Branquinha,-9.20717426918927,-36.067000523103694
34,Cacimbinhas,-9.44067305231551,-36.897398503541176
35,Cajueiro,-9.35593743261564,-36.155294789732125
36,Campestre,-8.907668493897907,-35.538914433839636
37,Campo Alegre,-9.794994322830512,-36.28085819426712
38,Campo Grande,-9.945965332592273,-36.77039551857202
39,Canapi,-9.197581557525137,-37.50986000158512
40,Capela,-9.369679372737677,-36.10942815756599
41,Carneiros,-9.453463334534359,-37.33175191120331
42,Chã Preta,-9.220116816672629,-36.32204619002223
43,Coité do Nóia,-9.62765479713391,-36.60124481755832
44,Colônia Leopoldina,-8.898113848549897,-35.774405799860844
45,Coqueiro Seco,-9.65487221316509,-35.79827884206065
46,Coruripe,-10.163171732415933,-36.1596135310346
47,Craíbas,-9.599333457935032,-36.79398864235408
48,Delmiro Gouveia,-9.443756423921839,-38.019111580168925
49,Dois Riachos,-9.36560627691203,-37.066589192900274
50,Estrela de Alagoas,-9.426969178509601,-36.75863894502639
51,Feira Grande,-9.912771504929072,-36.67450346631887
52,Feliz Deserto,-10.295832844120355,-36.29001552536218
53,Flexeiras,-9.162788944584577,-35.7692473033051
54,Girau do Ponciano,-9.820232290423059,-36.80834445835028
55,Ibateguara,-8.925521596161715,-35.953433622186694
56,Igaci,-9.572953500858658,-36.63319550552758
57,Igreja Nova,-10.176951738854093,-36.657868314635245
58,Inhapi,-9.254833296980934,-37.621747391995605
59,Jacaré dos Homens,-9.688484770305696,-37.225182970730145
60,Jacuípe,-8.87455079886696,-35.470294433144716
61,Japaratinga,-9.122362516857148,-35.27267203021098
62,Jaramataia,-9.655747738436025,-36.96249952984149
63,Joaquim Gomes,-9.132906886424472,-35.7322180954709
64,Jundiá,-8.943184366844887,-35.510242790192635
65,Junqueiro,-9.874476790904783,-36.47328211229973
66,Lagoa da Canoa,-9.804130238701116,-36.753520436816046
67,Limoeiro de Anadia,-9.74272927078742,-36.503553289762465
68,Maceió (capital),-9.614027055960257,-35.688230915538256
69,Major Isidoro,-9.523886019370277,-37.00284777034334
70,Mar Vermelho,-9.497049266500374,-36.36079489670834
71,Maragogi,-8.987607757765709,-35.197094057417615
72,Maravilha,-9.223124055646705,-37.28212637457022
73,Marechal deodoro,-9.742653138155164,-35.82235182598742
74,Maribondo,-9.552664154362686,-36.333482856804714
75,Mata Grande,-8.982240407191727,-37.72367768440316
76,Matriz de Camaragibe,-9.149846397101218,-35.56762606583203
77,Messias,-9.310638516423886,-35.833148679243614
78,Minador do Negrão,-9.336142948229327,-36.87964367818655
79,Monteirópolis,-9.632260821385342,-37.2966021556026
80,Murici,-9.30888746588202,-35.92848089466126
81,Novo Lino,-8.889586993737332,-35.62241009902087
82,Olho d'Água das Flores,-9.538960280556779,-37.25521421812052
83,Olho d'Água do Casado,-9.45544278297299,-37.839483932662176
84,Olho d'Água Grande,-10.056053118833075,-36.78938998263385
85,Olivença,-9.461228863024372,-37.12069342421742
86,Ouro Branco,-9.138350369630707,-37.41964629437781
87,Pão de Açúcar,-9.686238857654173,-37.385216328994176
88,Palestina,-9.686581454499319,-37.32839289019028
89,Palmeira dos índios,-9.390273249762668,-36.63523491114263
90,Pariconha,-9.218213500866256,-38.003236207047784
91,Paripueira,-9.4638935051533,-35.545152615720994
92,Passo de Camaragibe,-9.314064484875363,-35.42710702011994
93,Paulo Jacinto,-9.36975550536993,-36.38986642380928
94,Penedo,-10.251637851096298,-36.49063705420043
95,Piaçabuçu,-10.409613063025528,-36.33876131839663
96,Pilar,-9.639036625656042,-36.031890755848366
97,Pindoba,-9.454300793489164,-36.30165213387164
98,Piranhas,-9.5449366921888,-37.748110563438466
99,Poço das Trincheiras,-9.30808807324334,-37.29612229545788
100,Porto Calvo,-9.076759070136372,-35.350409373655566
101,Porto de Pedras,-9.189587631138355,-35.31625932668968
102,Porto Real do Colégio,-10.12411569206909,-36.728167825836685
103,Quebrangulo,-9.32331459969435,-36.49551563233841
104,Rio Largo,-9.531499282595785,-35.87725582421244
105,Roteiro,-9.89236795948472,-35.931280078838796
106,São Brás,-10.125562212081936,-36.86388827010158
107,São José da Laje,-8.978700239791868,-36.03237061599309
108,São José da Tapera,-9.522058836196159,-37.62626607502504
109,São Luís do Quitunde,-9.25026533904563,-35.57450406123968
110,São Miguel dos Campos,-9.988751871919611,-36.000060032915286
111,São Miguel dos Milagres,-9.262370427574183,-35.362085970510414
112,São Sebastião,-9.965303021185058,-36.57357288254615
113,Santa Luzia do Norte,-9.60782224643147,-35.83534803824024
114,Santana do Ipanema,-9.35022748519651,-37.16907932214333
115,Santana do Mundaú,-9.118555885244394,-36.224074743808615
116,Satuba,-9.582508146206667,-35.834428306296196
117,Senador Rui Palmeira,-9.3542244483899,-37.563964232902265
118,Tanque d'Arca,-9.58136615672284,-36.39914371994053
119,Taquarana,-9.61692009598595,-36.49863472327909
120,Teotônio Vilela,-9.97154589702997,-36.45360784636622
121,Traipu,-9.915778743903147,-36.97805499619948
122,União dos Palmares,-9.127006607424706,-36.0836756631327
123,Viçosa,-9.328149021842547,-36.32020672613413
124,Amapá,1.9126057327187809,-50.41649836073
125,Calçoene,2.895439948815344,-50.99544962533435
126,Cutias,0.9467110272989601,-50.55349843204748
127,Ferreira Gomes,0.9706928064593043,-51.39173412818206
128,Itaubal,0.5904103083453265,-50.71113248958791
129,Laranjal do Jari,1.4335792105700023,-53.45993135192407
130,Macapa,0.9466348946667047,-49.989582785311015
131,Mazagão,0.14229363489210556,-52.07689443815104
132,Oiapoque,4.241274555503985,-51.388695013932164
133,Pedra Branca do Amaparí,1.0240617816700919,-52.471739360564584
134,Porto Grande,0.4896107032396415,-51.70324333879594
135,Pracuúba,1.6488061619550294,-51.23525973265804
136,Santana,0.15024949496275752,-51.392973766889256
137,Serra do Navio,1.6517372682968485,-52.2050570851366
138,Tartarugalzinho,1.1443894069491982,-51.15852209784828
139,Vitória do Jari,-0.9048345891438458,-51.99443846995003
140,Alvarães,-3.629659563868202,-65.15888169184558
141,Amaturá,-3.225281087645506,-68.23282579057475
142,Anamã,-3.4537931833590374,-61.65842190115137
143,Anori,-4.234723658715211,-62.07374085640629
144,Apuí,-7.901728023911934,-58.8666355675174
145,Atalaia do Norte,-5.165292822768684,-72.6178677697144
146,Autazes,-3.9407374992623367,-59.8200776867301
147,Barcelos,-0.5540915523448362,-63.97966537454226
148,Barreirinha,-2.9206744259930524,-57.11590581785288
149,Benjamin Constant,-5.212342789502305,-70.2422401465886
150,Beruri,-4.264834114772084,-61.64398610846438
151,Boa Vista do Ramos,-3.1708462555831467,-57.58428930744472
152,Boca do Acre,-8.511931071436159,-67.94035103236808
153,Borba,-4.953491839835134,-59.172626386467016
154,Caapiranga,-3.207694449594591,-61.65930164475002
155,Canutama,-7.4132610553635345,-64.26830125159117
156,Carauari,-5.085049028371861,-67.35836065351384
157,Careiro da Várzea,-3.358284796195079,-59.692994725070164
158,Careiro,-3.918278372747098,-60.20848448553533
159,Coari,-3.868754095465187,-64.13234087725391
160,Codajás,-3.1292778383718876,-63.469893947468336
161,Eirunepé,-7.251859874982831,-70.45665765458753
162,Envira,-7.596131638040166,-70.02870238218833
