id,name,lon,lat
BR.AC,Acre,-70.44667,-9.309917
BR.AL,Alagoas,-36.6232,-9.515553
BR.AP,Amapá,-51.96103,1.440043
BR.AM,Amazonas,-64.71488,-4.186777
BR.BA,Bahia,-41.73008,-12.47331
BR.CE,Ceará,-39.6179,-5.091464
BR.DF,Distrito Federal,-47.79723,-15.78112
BR.ES,Espírito Santo,-40.66115,-19.64267
BR.GO,Goiás,-49.62332,-16.04443
BR.MA,Maranhão,-45.28741,-5.068699
BR.MT,Mato Grosso,-55.9192,-12.9496
BR.MS,Mato Grosso do Sul,-54.84547,-20.3259
BR.MG,Minas Gerais,-44.6577,-18.45799
BR.PA,Pará,-53.06252,-3.97338
BR.PB,Paraíba,-36.87255,-7.142569
BR.PR,Paraná,-51.62375,-24.63683
BR.PE,Pernambuco,-37.99888,-8.326044
BR.PI,Piauí,-42.96913,-7.384485
BR.RJ,Rio de Janeiro,-42.66135,-22.19492
BR.RN,Rio Grande do Norte,-36.68217,-5.846985
BR.RS,Rio Grande do Sul,-53.31684,-29.73784
BR.RO,Rondônia,-62.85655,-10.89857
BR.RR,Roraima,-61.39802,2.084692
BR.SC,Santa Catarina,-50.80062,-26.29854
BR.SP,São Paulo,-48.73276,-22.26541
BR.SE,Sergipe,-37.44607,-10.59089
BR.TO,Tocantins,-48.33,-10.15018
