"id","name","lat","lon"
1,"Trashi Yangste",27.676,91.5121
2,"Lhuentse Dzongkhag",27.6977,91.0822
3,"Bumthang Dzongkhag",27.7219,90.7042
4,"Trashigang Dzongkhag",27.2629,91.734
5,"Samdrup Jongkhar Dzongkhag",26.9509,91.7328
6,"Haa Dzongkhag",27.3711,89.1233
7,"Samtse Dzongkhag",27.0219,89.0493
8,"Sarpang Dzongkhag",27.0503,90.3468
9,"Chhukha Dzongkhag",27.0361,89.5247
10,"Zhemgang Dzongkhag",27.0763,90.8505
11,"Thimphu Dzongkhag",27.4828,89.602
12,"Paro Dzongkhag",27.4896,89.3837
13,"Gasa",28.0641,89.9133
14,"Tsirang Dzongkhag",27.0316,90.1671
15,"Wangdue Phodrang Dzongkhag",27.5206,90.0915
16,"Dagana Dzongkhag",27.0316,89.8444
17,"Punakha Dzongkhag",27.6756,89.8223
18,"Mongar Dzongkhag",27.1956,91.2014
19,"Trongsa Dzongkhag",27.4491,90.4811
20,"Pemagatshel Dzongkhag",26.9641,91.3405
