"id","name","lat","lon"
1,"Vakaga Prefecture",9.8017,22.2437
2,"Haute-Kotto Prefecture",7.48168,22.8492
3,"Haut-Mbomou Prefecture",6.15735,25.851
4,"Kémo Prefecture",5.75536,19.3143
5,"Ouaka Prefecture",5.99454,20.7064
6,"Basse-Kotto Prefecture",5.00365,21.3019
7,"Mbomou Prefecture",5.48563,23.4601
8,"Ombella-M'Poko Prefecture",5.17659,17.802
9,"Bangui",4.38332,18.5457
10,"Lobaye Prefecture",4.07603,17.6819
11,"Bamingui-Bangoran Prefecture",8.21272,20.6318
12,"Ouham Prefecture",6.92835,17.8774
13,"Ouham-Pendé Prefecture",6.67901,16.0108
14,"Sangha-Mbaéré Economic Prefecture",3.21418,16.3383
15,"Nana-Mambéré Prefecture",5.67426,15.4564
16,"Mambéré-Kadéï",4.5324,15.8888
17,"Nana-Grébizi Economic Prefecture",7.11882,19.4051
