id,name,lat,lon
CL.AI,Aisén del General Carlos Ibáñez del Campo,-46.193104025889326,-74.22495742135486
CL.AN,Antofagasta,-23.741895174196447,-70.15554043438698
CL.AR,Araucanía,-38.82302317960254,-72.68333155709861
CL.AP,Arica y Parinacota,-18.533665377631756,-69.97491417524562
CL.AT,Atacama,-27.581396589799557,-70.76160439603092
CL.BI,Bío-Bío,-37.216251149919806,-73.0471835447874
CL.CO,Coquimbo,-30.606769758558034,-71.34773919630261
CL.LI,Libertador General Bernardo O'Higgins,-34.368735934760366,-71.4009732021538
CL.LL,Los Lagos,-42.340291729237684,-73.3567022340157
CL.LR,Los Ríos,-39.91464926603299,-73.05626920850352
CL.MA,Magallanes y Antártica Chilena,-53.613699081341835,-72.17273707982014
CL.ML,Maule,-35.51814481657078,-71.76290360995067
CL.RM,Santiago,-33.65962197188456,-70.63464455085271
CL.TA,Tarapacá,-20.21077428375468,-69.93979592943002
CL.VS,Valparaíso,-32.206118638689375,-76.99704619789703
