id,name,lat,lon
1,Aisén,-45.2526406781142,-74.00708133619625
2,Capitán Prat,-48.04236019959833,-74.6101402503146
3,Coihaique,-45.063736853692205,-71.99499282513369
4,General Carrera,-46.512323347890764,-72.69506901729564
5,Antofagasta,-24.105000005711076,-70.52124992833932
6,El Loa,-22.83062240403902,-68.18070860199667
7,Tocopilla,-22.051389379243673,-70.1945798485923
8,Cautín,-38.86346882464914,-73.34361604920875
9,Malleco,-38.30801396772711,-72.04889221330717
10,Arica,-18.675935028521756,-70.33069980988495
11,Parinacota,-18.12121559663088,-69.35895903251429
12,Chañaral,-26.307359164401472,-70.66625115392395
13,Copiapó,-27.27041316829282,-70.90875180648044
14,Huasco,-28.598748171789072,-71.28319919851353
15,Ñuble,-36.178749544143834,-72.78569680912187
16,Arauco,-37.52096806963036,-73.56888899384117
17,Biobío,-37.41267605535713,-71.9156732489274
18,Concepción,-36.699305633905006,-73.09764311403445
19,Choapa,-31.725417189833063,-71.5456907990703
20,Elqui,-29.754581228679836,-71.37847020606904
21,Limarí,-30.730140171846234,-71.68541674814574
22,Cachapoal,-34.226149952766725,-70.88614347858388
23,Cardenal Caro,-34.30422712461625,-71.99709564272837
24,Colchagua,-34.66310097108999,-71.2622804177017
25,Chiloé,-42.61597097547437,-73.65485331157979
26,Llanquihue,-41.646528814670376,-73.16541137432083
27,Osorno,-40.55958147361251,-73.75541580233116
28,Palena,-42.51707666187595,-72.7645794963984
29,Ranco,-40.16264191897662,-73.05030338228832
30,Valdivia,-39.88680597113077,-73.38486611844081
31,Antártica Chilena,-55.08208197988048,-69.709716300315975
32,Última Esperanza,-50.93069723263963,-74.56458325410154
32,Última Esperanza,-51.494580983092106,-72.92861547547014
33,Magallanes,-53.57236022700387,-72.81416385424754
34,Tierra del Fuego,-54.326803186634805,-70.02249724959178
35,Cauquenes,-35.748468912265466,-72.6168069273942
36,Curicó,-34.85596686394548,-72.10930263784799
37,Linares,-36.033433899981375,-71.24446116571441
38,Talca,-35.308334670467886,-72.36373951513265
39,Chacabuco,-33.136201209183206,-70.78436548633266
40,Cordillera,-33.633619904790926,-70.08434196590238
41,Maipo,-33.713846363078346,-70.91677816805088
42,Melipilla,-33.69404958963835,-71.19561016043683
43,Santiago,-33.333778164230864,-70.72052734756237
44,Talagante,-33.54876108293091,-71.02474306293614
45,Iquique,-20.25681118847126,-70.16042425644748
46,ísla de Pascua,-33.6456960722766,-80.08374608756613
47,Los Andes,-32.75981284923697,-70.32702899535549
48,Petorca,-32.26596815645591,-71.4756941193676
49,Quillota,-32.74794021266398,-71.24115500163492
50,San Antonio,-33.559860302035716,-71.67319690640093
51,San Felipe de Aconcagua,-32.48143954934639,-70.67477587110932
52,Valparaíso,-32.92541374102987,-71.54264394197743
