id,name,lat,lon
CL.AI,Aisén del General Carlos Ibáñez del Campo,-45.93541572662045,-74.20181515540024
CL.AN,Antofagasta,-23.528471304001393,-70.49096344293855
CL.AR,Araucanía,-38.8581941949289,-73.3412494786339
CL.AP,Arica y Parinacota,-18.662359579146496,-70.32875055313049
CL.AT,Atacama,-27.66124935812276,-70.96902240843616
CL.BI,Bío-Bío,-37.18930593115125,-73.45236580430966
CL.CO,Coquimbo,-30.368472825914054,-71.5218026566184
CL.LI,Libertador General Bernardo O'Higgins,-34.30319511727689,-71.9879233152288
CL.LL,Los Lagos,-42.32930179557583,-73.47513560574478
CL.LR,Los Ríos,-39.88930740555616,-73.39152929159167
CL.MA,Magallanes y Antártica Chilena,-53.7606907203748,-72.63472154674199
CL.MA,Magallanes y Antártica Chilena,-50.27986356285778,-74.63527340021889
CL.ML,Maule,-35.38457881581469,-72.43541899378502
CL.RM,Región Metropolitana de Santiago,-33.79063277902321,-70.55327316104609
CL.TA,Tarapacá,-20.256813811370755,-70.16042347929644
CL.VS,Valparaíso,-33.08708089289789,-71.66958882007302
