"id","name","lat","lon"
1,"Xinjiang Uygur Zizhiqu",41.122,85.4253
2,"Tibet Autonomous Region",31.4515,88.4137
3,"Inner Mongolia Autonomous Region",41.5938,111.623
4,"Gansu Sheng",38.7393,100.735
5,"Yunnan Sheng",24.4603,101.661
6,"Heilongjiang Sheng",46.8451,127.97
7,"Jilin Sheng",43.2978,126.466
8,"Liaoning Sheng",41.386,123.07
9,"Guangxi Zhuangzu Zizhiqu",23.7451,108.756
10,"Guangdong Sheng",23.7924,113.72
11,"Hainan Sheng",19.1865,109.825
12,"Fujian Sheng",26.408,118.178
13,"Zhejiang Sheng",29.1084,119.97
14,"Shanghai Shi",31.0909,121.409
15,"Jiangsu Sheng",32.9844,119.942
16,"Shandong Sheng",36.3271,118.114
17,"Hebei Sheng",38.5205,115.314
18,"Tianjin Shi",39.3708,117.347
19,"unknown",15.7833,111.201
20,"Beijing Shi",39.9488,116.389
21,"Sichuan Sheng",30.5431,102.384
22,"Chongqing Shi",30.0173,107.73
23,"Guizhou Sheng",26.8033,106.559
24,"Hunan Sheng",27.6667,111.712
25,"Ningxia Huizu Zizhiqu",37.1762,106.038
26,"Shaanxi",33.7713,108.363
27,"Qinghai Sheng",35.2652,96.2377
28,"Shanxi Sheng",37.7586,112.389
29,"Jiangxi Sheng",27.6397,116.017
30,"Henan Sheng",33.9055,113.484
31,"Hubei Sheng",30.9857,112.264
32,"Anhui Sheng",31.9537,117.253
