"id","name","lat","lon"
1,"Denguele",9.52894,-7.37781
2,"Bafing",8.11221,-7.67511
3,"Dix-Huit Montagnes",7.36283,-7.73423
4,"Zanzan",8.60755,-3.41485
5,"Moyen-Comoe",6.76303,-3.47724
6,"Region du Sud-Comoe",5.52003,-3.12754
7,"Savanes",9.82238,-5.36817
8,"Moyen-Cavally",5.99237,-7.79453
9,"Bas-Sassandra",5.47996,-6.67522
10,"Sud-Bandama",5.63293,-5.49467
11,"Lagunes",5.4607,-4.42852
12,"Haut-Sassandra",7.01394,-6.50859
13,"Agneby",6.06215,-4.02187
14,"N'zi-Comoe",7.05528,-4.23718
15,"Marahoue",6.94728,-5.83201
16,"Fromager",6.2178,-5.80631
17,"Vallee du Bandama",8.22668,-4.85838
18,"Lacs",6.85184,-5.15412
19,"Worodougou",8.49071,-6.28956
