id,name,lon,lat
05,ANTIOQUIA,-75.5912,6.913161
08,ATLANTICO,-74.97943,10.66084
11,"BOGOTA, D.C.",-74.21088,4.286616
13,BOLIVAR,-74.51479,8.71629
15,BOYACA,-73.12136,5.755396
17,CALDAS,-75.33511,5.329302
18,CAQUETA,-73.98289,0.7732053
19,CAUCA,-76.86999,2.391192
20,CESAR,-73.53562,9.525214
23,CORDOBA,-75.79988,8.350605
25,CUNDINAMARCA,-74.11696,4.796094
27,CHOCO,-76.98115,5.983472
41,HUILA,-75.63745,2.535022
44,LA GUAJIRA,-72.47929,11.43876
47,MAGDALENA,-74.27984,10.22522
50,META,-72.96355,3.315483
52,NARIÑO,-77.88662,1.542956
54,NORTE DE SANTANDER,-72.90671,8.061736
63,QUINDIO,-75.68725,4.476064
66,RISARALDA,-75.91833,5.065642
68,SANTANDER,-73.5116,6.672611
70,SUCRE,-75.12076,9.059539
73,TOLIMA,-75.2635,4.040248
76,VALLE DEL CAUCA,-76.53093,3.862996
81,ARAUCA,-70.98388,6.533712
85,CASANARE,-71.62087,5.365265
86,PUTUMAYO,-75.8626,0.4357213
91,AMAZONAS,-71.52447,-1.564095
94,GUAINIA,-68.79754,2.664058
95,GUAVIARE,-72.12317,1.894852
97,VAUPES,-70.57153,0.607142
99,VICHADA,-69.43002,4.666551
88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,-81.56905,12.89667
