name,id,lat,lon,department,municipality,dept_code
TARAPACA - AMAZONAS,91798,-2.4517877802874,-70.0065211718529,AMAZONAS,TARAPACÁ,91
APARTADO - ANTIOQUIA,05045,7.859746595312367,-76.63625006589545,ANTIOQUIA,APARTADÓ,05
CHIGORODO - ANTIOQUIA,05172,7.626679890345633,-76.65722833488776,ANTIOQUIA,CHIGORODÓ,05
MEDELLIN - ANTIOQUIA,05001,6.25644386238998,-75.61172523487957,ANTIOQUIA,MEDELLÍN,05
MURINDO - ANTIOQUIA,05475,6.86150827142384,-76.78506661515152,ANTIOQUIA,MURINDÓ,05
MUTATA - ANTIOQUIA,05480,7.319088829090163,-76.49775801172746,ANTIOQUIA,MUTATÁ,05
NECOCLI - ANTIOQUIA,05490,8.489737480971067,-76.68743453264528,ANTIOQUIA,NECOCLÍ,05
NUEVA FORTUNA - ANTIOQUIA,NA,NA,NA,NA,NA,NA
PUERTO BERRIO - ANTIOQUIA,05579,6.479982996118462,-74.52485906607693,ANTIOQUIA,PUERTO BERRÍO,05
SAN JOSE DE MULATOS - ANTIOQUIA,NA,NA,NA,NA,NA,NA
SAN JUAN DE URABA - ANTIOQUIA,05659,8.716456546431667,-76.55865478876666,ANTIOQUIA,SAN JUAN DE URABÁ,05
SAN PEDRO - ANTIOQUIA,NA,NA,NA,NA,NA,NA
SANTA FE DE ANTIOQUIA - ANTIOQUIA,05042,6.530596582506867,-75.8983839312315,ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,05
SANTA RITA DE ITUANGO - ANTIOQUIA,NA,NA,NA,NA,NA,NA
VIGIA DEL FUERTE - ANTIOQUIA,05873,6.4803217578384285,-76.76436637242793,ANTIOQUIA,VIGÍA DEL FUERTE,05
BARRANQUILLA - ATLANTICO,08001,10.9796493947,-74.8187880943,ATLÁNTICO,BARRANQUILLA,08
MANATI - ATLANTICO,08436,10.4370862167364,-75.00570120004663,ATLÁNTICO,MANATÍ,08
PUERTO COLOMBIA - ATLANTICO,08573,11.0176722535,-74.93491909716667,ATLÁNTICO,PUERTO COLOMBIA,08
BARU - BOLIVAR,NA,NA,NA,NA,NA,NA
BAYUNCA - BOLIVAR,NA,NA,NA,NA,NA,NA
CARMEN DE BOLIVAR - BOLIVAR,NA,NA,NA,NA,NA,NA
CARTAGENA - BOLIVAR,NA,NA,NA,NA,NA,NA
CORDOBA - BOLIVAR,13212,9.513518424662694,-74.88884732967335,BOLÍVAR,CÓRDOBA,13
MAGANGUE - BOLIVAR,13430,9.172877654370168,-74.73204338172945,BOLÍVAR,MAGANGUÉ,13
