"id","name","lat","lon"
1,"Brava",14.851,-24.7204
2,"Santa Catarina do Fogo",14.9241,-24.3301
3,"Mosteiros",15.0008,-24.3541
4,"São Filipe",14.9241,-24.4403
5,"Tarrafal",15.2355,-23.717
6,"Santa Catarina",15.0918,-23.7027
7,"Ribeira Grande de Santiago",14.9768,-23.6404
8,"Praia",14.9529,-23.5159
9,"São Domingos",15.0152,-23.5254
10,"Santa Cruz",15.1157,-23.5494
11,"São Miguel",15.178,-23.6356
12,"Maio",15.2115,-23.1806
13,"Boa Vista",16.1024,-22.807
14,"Ribeira Brava",16.6197,-24.287
15,"Tarrafal de São Nicolau",16.6006,-24.3493
16,"Sal",16.7251,-22.9363
17,"São Vicente",16.8449,-24.972
18,"Ribeira Grande",17.1418,-25.1204
19,"Porto Novo",17.0173,-25.2258
20,"Paul",17.1179,-25.0151
21,"São Salvador do Mundo",15.0678,-23.6164
22,"São Lourenço dos Órgãos",15.0439,-23.5781
