"id","name","lat","lon"
1,"Ustecky kraj",50.4996,13.8424
2,"Liberecky kraj",50.7339,14.9186
3,"Karlovarsky kraj",50.1601,12.7286
4,"Plzensky kraj",49.6458,13.2001
5,"Jihocesky kraj",49.0726,14.5598
6,"Kralovehradecky kraj",50.3723,15.8838
7,"Olomoucky kraj",49.6928,17.1244
8,"Pardubicky kraj",49.8651,16.2784
9,"Moravskoslezsky kraj",49.7687,17.9683
10,"Jihomoravsky kraj",49.1054,16.7484
11,"Zlinsky kraj",49.1837,17.7745
12,"Kraj Vysocina",49.4088,15.7721
13,"Stredocesky kraj",49.7498,14.4559
14,"Hlavni mesto Praha",50.0647,14.4487
