id,name,lon,lat
DOM-1964,Provincia de Monte Cristi,-71.44393,19.72209
DOM-1966,Provincia de Dajabon,-71.60154,19.43809
DOM-1972,Provincia de Elias Pina,-71.59985,19.00488
DOM-1971,Provincia de Independencia,-71.6289,18.42384
DOM-1973,Provincia de Pedernales,-71.53272,17.96131
DOM-1987,Provincia de La Altagracia,-68.66084,18.56719
DOM-1986,Provincia de El Seibo,-69.05559,18.81939
DOM-1980,Provincia de Hato Mayor,-69.38615,18.87373
DOM-1983,Provincia de Samana,-69.49981,19.233
DOM-1982,Provincia Maria Trinidad Sanchez,-69.98403,19.44418
DOM-1967,Provincia Espaillat,-70.39435,19.53758
DOM-1965,Provincia de Puerto Plata,-70.80132,19.74434
DOM-1970,Provincia de Barahona,-71.20997,18.17083
DOM-1974,Provincia de Azua,-70.83382,18.58042
DOM-1977,Provincia de Peravia,-70.37274,18.33349
DOM-1984,Provincia de San Cristobal,-70.21006,18.52148
DOM-1394,Provincia de Santo Domingo,-69.86076,18.56532
DOM-1985,Distrito Nacional,-69.94581,18.48287
DOM-1396,Provincia de San Pedro de Macoris,-69.36911,18.5473
DOM-1988,Provincia de La Romana,-68.97787,18.50926
DOM-1392,Provincia de Valverde,-71.0346,19.58173
DOM-1391,Provincia de Santiago Rodriguez,-71.31002,19.38308
DOM-1975,Provincia de La Vega,-70.63163,19.05206
DOM-1968,Provincia de Hermanas Mirabal,-70.36652,19.40897
DOM-1979,Provincia Duarte,-70.08775,19.24344
DOM-1390,Provincia de Santiago,-70.90287,19.32419
DOM-1969,Provincia de Baoruco,-71.33035,18.51404
DOM-1393,Provincia de San Juan,-71.28626,18.87967
DOM-1976,Provincia de Monsenor Nouel,-70.41838,18.89261
DOM-1395,Provincia Sanchez Ramirez,-70.14482,19.0176
DOM-1978,Provincia de San Jose de Ocoa,-70.49792,18.61072
DOM-1981,Provincia de Monte Plata,-69.80505,18.83257
