"id","name","lat","lon"
1,"Adrar",25.7004,-0.93557
2,"Wilaya de Tamanghasset",23.0089,6.39695
3,"Wilaya de Tindouf",27.4985,-5.8285
4,"Wilaya de Bechar",30.1882,-2.81838
5,"El Tarf",36.7012,8.14597
6,"El Oued",33.1137,7.03557
7,"Wilaya de Tebessa",34.9437,7.78338
8,"Wilaya de Souk Ahras",36.1547,7.84211
9,"Wilaya de Ouargla",31.0014,6.2527
10,"Illizi",26.8506,8.7628
11,"Wilaya de Naama",33.1649,-0.830564
12,"Wilaya de Tlemcen",34.7431,-1.49045
13,"Annaba",36.823,7.53073
14,"Wilaya de Skikda",36.7555,6.81608
15,"Wilaya de Jijel",36.7106,5.95292
16,"Wilaya de Bejaia",36.6189,4.91591
17,"Wilaya de Tizi Ouzou",36.6814,4.19086
18,"Wilaya de Boumerdes",36.7503,3.60632
19,"Wilaya d' Alger",36.7024,3.09806
20,"Wilaya de Tipaza",36.527,2.34141
21,"Wilaya de Chlef",36.2337,1.21078
22,"Wilaya de Mostaganem",35.9631,0.313449
23,"Oran",35.5208,-0.610009
24,"Wilaya de Ain Temouchent",35.2708,-0.995722
25,"Wilaya de Setif",36.0513,5.38428
26,"Wilaya de Bordj Bou Arreridj",36.0966,4.66926
27,"Wilaya de Bouira",36.1884,3.84375
28,"Wilaya de Blida",36.503,2.99331
29,"Wilaya de Tissemsilt",35.7302,1.77868
30,"Wilaya de Ain Defla",36.1735,2.10714
31,"Wilaya de Relizane",35.8174,0.820498
32,"El Bayadh",32.7753,0.971858
33,"Wilaya de Saida",34.5917,0.178599
34,"Wilaya de Sidi Bel Abbes",34.8335,-0.586496
35,"Wilaya de Mascara",35.3625,0.167566
36,"Wilaya de Ghardaia",31.1547,3.11396
37,"Wilaya de Laghouat",33.4521,2.75622
38,"Wilaya de Medea",35.8958,2.76411
39,"Wilaya de Tiaret",34.9048,1.55627
40,"Wilaya de M'Sila",35.3592,4.37961
41,"Wilaya de Batna",35.5923,5.78213
42,"Wilaya de Khenchela",34.8896,7.02787
43,"Wilaya de Guelma",36.4381,7.46291
44,"Wilaya de Constantine",36.3731,6.68301
45,"Wilaya de Mila",36.2449,6.1311
46,"Oum el Bouaghi",35.891,7.00715
47,"Wilaya de Biskra",34.7569,5.46698
48,"Wilaya de Djelfa",34.1508,3.70376
