id,name,depto,lon,lat
1,Chordeleg,Azuay,-78.7373,-2.982455
2,Cuenca,Azuay,-79.2112,-2.868642
3,El Pan,Azuay,-78.65405,-2.85488
4,Girón,Azuay,-79.15782,-3.176226
5,Gualaceo,Azuay,-78.77151,-2.919106
6,Nabón,Azuay,-79.11692,-3.327708
7,Oña,Azuay,-79.12898,-3.48521
8,Paute,Azuay,-78.73402,-2.751179
9,Pucará,Azuay,-79.56385,-3.14381
10,San Fernando,Azuay,-79.26716,-3.12937
11,Santa Isabel,Azuay,-79.39911,-3.150238
12,Sevilla de Oro,Azuay,-78.56012,-2.675503
13,Sigsig,Azuay,-78.85493,-3.1276
14,Caluma,Bolivar,-79.21549,-1.60597
15,Chillanes,Bolivar,-79.11891,-2.008723
16,Chimbo,Bolivar,-79.14343,-1.67059
17,Echeandía,Bolivar,-79.25872,-1.453366
18,Guaranda,Bolivar,-79.04709,-1.412351
19,Las Naves,Bolivar,-79.28872,-1.284331
20,San Miguel,Bolivar,-79.10062,-1.79165
21,Azogues,Cañar,-78.74156,-2.621966
22,Biblián,Cañar,-78.95972,-2.669212
23,Cañar,Cañar,-79.04979,-2.502407
24,Déleg,Cañar,-78.93482,-2.762589
25,El Tambo,Cañar,-78.91507,-2.490178
26,La Troncal,Cañar,-79.38059,-2.444481
27,No Delimitado,Cañar,-79.26461,-2.371139
28,Bolívar,Carchi,-77.9076,0.4737626
29,Espejo,Carchi,-78.03694,0.7124217
30,Mira,Carchi,-78.19223,0.7207357
31,Montúfar,Carchi,-77.79852,0.5638432
32,Tulcán,Carchi,-78.0959,0.8634272
33,Alausí,Chimborazo,-78.73998,-2.290553
34,Chambo,Chimborazo,-78.53326,-1.755658
35,Chunchi,Chimborazo,-78.90433,-2.32975
36,Colta,Chimborazo,-78.84218,-1.814828
37,Cumandá,Chimborazo,-79.05756,-2.211876
38,Guamote,Chimborazo,-78.63379,-2.038453
39,Guano,Chimborazo,-78.65969,-1.539892
40,Pallatanga,Chimborazo,-78.92709,-2.013687
41,Penipe,Chimborazo,-78.44853,-1.561175
42,Riobamba,Chimborazo,-78.63375,-1.715993
43,La Maná,Cotopaxi,-79.13688,-0.7985324
44,Latacunga,Cotopaxi,-78.57804,-0.7875908
45,Pangua,Cotopaxi,-79.14784,-1.095896
46,Pujilí,Cotopaxi,-78.89621,-0.988971
47,Salcedo,Cotopaxi,-78.61225,-1.057053
48,Saquisilí,Cotopaxi,-78.73789,-0.8247157
49,Sigchos,Cotopaxi,-78.91565,-0.6412389
50,Arenillas,El Oro,-80.08849,-3.599712
51,Atahualpa,El Oro,-79.71338,-3.553423
52,Balsas,El Oro,-79.83671,-3.764191
53,Chilla,El Oro,-79.6259,-3.438748
54,El Guabo,El Oro,-79.77714,-3.164036
55,Huaquillas,El Oro,-80.18411,-3.460763
56,Las Lajas,El Oro,-80.06545,-3.803506
57,Machala,El Oro,-79.94073,-3.306571
58,Marcabelí,El Oro,-79.92716,-3.776999
59,Pasaje,El Oro,-79.72936,-3.326044
60,Piñas,El Oro,-79.77944,-3.701383
61,Portovelo,El Oro,-79.50097,-3.737253
62,Santa Rosa,El Oro,-79.97611,-3.450075
63,Zaruma,El Oro,-79.51761,-3.540172
64,Atacames,Esmeraldas,-79.85665,0.7912979
65,Eloy Alfaro,Esmeraldas,-78.9504,0.7633429
66,Esmeraldas,Esmeraldas,-79.47251,0.8290471
67,Muisne,Esmeraldas,-79.93392,0.5364365
68,Quinindé,Esmeraldas,-79.42821,0.394579
69,San Lorenzo,Esmeraldas,-78.68055,1.000167
70,Isabela,Galápagos,-91.22412,-0.5374631
71,San Cristóbal,Galápagos,-89.46829,-0.8548462
72,Santa Cruz,Galápagos,-90.48528,-0.482886
73,Alfredo Baquerizo Moreno,Guayas,-79.54111,-1.944806
74,Balao,Guayas,-79.71395,-2.892362
75,Balzar,Guayas,-79.90526,-1.287126
76,Colimes,Guayas,-80.08671,-1.528271
77,Coronel Marcelino Maridueña,Guayas,-79.3581,-2.26668
78,Daule,Guayas,-79.94341,-1.8948
79,Durán,Guayas,-79.78047,-2.22552
80,El Empalme,Guayas,-79.65651,-0.9849297
81,General Antonio Elizalde,Guayas,-79.19939,-2.154778
82,Guayaquil,Guayas,-80.0636,-2.486003
83,Lomas de Sargentillo,Guayas,-80.15169,-1.946984
84,Milagro,Guayas,-79.55843,-2.114449
85,Naranjal,Guayas,-79.61385,-2.556419
86,Naranjito,Guayas,-79.39501,-2.15008
87,Nobol,Guayas,-80.05502,-1.970263
88,Palestina,Guayas,-79.91825,-1.634894
89,Pedro Carbo,Guayas,-80.28693,-1.847026
90,Playas,Guayas,-80.43389,-2.558899
91,Samborondón,Guayas,-79.78137,-1.982028
92,San Jacinto de Yaguac,Guayas,-79.67736,-2.140881
93,Santa Lucia,Guayas,-80.03216,-1.710923
94,Simon Bolivar,Guayas,-79.40338,-2.035755
95,Urbina Jado,Guayas,-79.80016,-1.803251
96,Antonio Ante,Imbabura,-78.19704,0.3382211
97,Cotacachi,Imbabura,-78.58109,0.3602192
98,Ibarra,Imbabura,-78.16924,0.5053981
99,No Delimitado,Imbabura,-79.06273,0.3236565
100,Otavalo,Imbabura,-78.32072,0.2280797
101,Pimampiro,Imbabura,-77.91768,0.2876491
102,San Miguel de Urcuquí,Imbabura,-78.31375,0.5681739
103,Calvas,Loja,-79.59981,-4.336851
104,Catamayo,Loja,-79.3925,-3.982017
105,Celica,Loja,-80.02949,-4.166
106,Chaguarpamba,Loja,-79.66841,-3.850016
107,Espíndola,Loja,-79.41044,-4.545436
108,Gonzanamá,Loja,-79.45385,-4.156132
109,Loja,Loja,-79.24914,-4.060121
110,Macará,Loja,-79.91982,-4.32825
111,Paltas,Loja,-79.74366,-4.00296
112,Pindal,Loja,-80.13043,-4.089848
113,Puyango,Loja,-80.07159,-3.971478
114,Quilanga,Loja,-79.37925,-4.340483
115,Saraguro,Loja,-79.30532,-3.535474
116,Sozoranga,Loja,-79.77844,-4.278967
117,Zapotillo,Loja,-80.32352,-4.222378
118,Baba,Los Rios,-79.65734,-1.676203
119,Babahoyo,Los Rios,-79.4295,-1.837072
120,Buena Fé,Los Rios,-79.47815,-0.7173242
121,Montalvo,Los Rios,-79.31391,-1.803077
122,Palenque,Los Rios,-79.71248,-1.328563
123,Pueblo Viejo,Los Rios,-79.54139,-1.546803
124,Quevedo,Los Rios,-79.40188,-0.9440607
125,Urdaneta,Los Rios,-79.38487,-1.563207
126,Ventanas,Los Rios,-79.38934,-1.287557
127,Vinces,Los Rios,-79.73021,-1.520521
128,Bolívar,Manabi,-80.02838,-0.9088063
129,Chone,Manabi,-79.95485,-0.4643202
130,El Carmen,Manabi,-79.56066,-0.3399353
131,Flavio Alfaro,Manabi,-79.81605,-0.3235792
132,Jipijapa,Manabi,-80.5888,-1.435992
133,Junín,Manabi,-80.18864,-0.9392017
134,Manta,Manabi,-80.80567,-1.029637
135,Montecristi,Manabi,-80.68573,-1.107586
136,No Delimitado,Manabi,-79.58881,-0.6762513
137,Paján,Manabi,-80.39615,-1.657055
138,Pedernales,Manabi,-79.89915,0.08895449
139,Pichincha,Manabi,-79.8408,-0.8851568
140,Portoviejo,Manabi,-80.35064,-1.049697
141,Puerto López,Manabi,-80.74897,-1.558496
142,Rocafuerte,Manabi,-80.42833,-0.8985617
143,Santa Ana,Manabi,-80.21159,-1.225844
144,Sucre,Manabi,-80.31244,-0.4391812
145,Tosagua,Manabi,-80.27084,-0.7750629
146,Veinticuatro de Mayo,Manabi,-80.37285,-1.381217
147,Gualaquiza,Morona Santiago,-78.65064,-3.36112
148,Huamboya,Morona Santiago,-78.16992,-1.893663
149,Morona,Morona Santiago,-77.7807,-2.53677
150,Palora,Morona Santiago,-78.10965,-1.667114
151,San Juan Bosco,Morona Santiago,-78.3791,-3.263853
152,Santiago,Morona Santiago,-78.30642,-2.776642
153,Sucúa,Morona Santiago,-78.10538,-2.644397
154,Archidona,Napo,-77.93125,-0.7168929
155,El Chaco,Napo,-77.66974,-0.2486824
156,Quijos,Napo,-77.97216,-0.4659516
157,Tena,Napo,-77.80685,-0.9988029
158,Aguarico,Orellana,-75.88217,-0.9461192
159,Joya de los Sachas,Orellana,-76.88887,-0.2765565
160,Loreto,Orellana,-77.34957,-0.6400593
161,Orellana,Orellana,-76.76741,-0.6366765
162,Mera,Pastaza,-78.04444,-1.414062
163,Pastaza,Pastaza,-76.84093,-1.717715
164,Santa Clara,Pastaza,-77.86219,-1.271842
165,Cayambe,Pichincha,-78.07118,-0.002281154
166,Mejía,Pichincha,-78.62832,-0.4872883
167,Pedro Moncayo,Pichincha,-78.2733,0.05417462
168,Pedro Vicente Maldonado,Pichincha,-79.05588,0.1515148
169,Quito,Pichincha,-78.51651,-0.1006989
170,Rumiñahui,Pichincha,-78.44154,-0.3989426
171,San Miguel de los Bancos,Pichincha,-79.04647,0.04945169
172,La Libertad,Santa Elena,-80.88871,-2.238797
173,Salinas,Santa Elena,-80.91771,-2.26066
174,Santa Elena,Santa Elena,-80.56682,-2.128111
175,No Delimitado,Santo Domingo de los Tsáchilas,-79.46555,-0.001626721
176,San Miguel de los Bancos,Santo Domingo de los Tsáchilas,-79.21063,-0.04934735
177,Santo Domingo de los Colorados,Santo Domingo de los Tsáchilas,-79.16884,-0.3266796
178,Cascales,Sucumbios,-77.21579,0.1364603
179,Cuyabeno,Sucumbios,-75.87636,-0.2717318
180,Gonzalo Pizarro,Sucumbios,-77.57926,0.0793725
181,Lago Agrio,Sucumbios,-76.76564,0.1120534
182,Putumayo,Sucumbios,-75.99699,0.08676822
183,Shushufindi,Sucumbios,-76.41535,-0.3112584
184,Sucumbíos,Sucumbios,-77.59954,0.39115
185,Ambato,Tungurahua,-78.74754,-1.275541
186,Baños,Tungurahua,-78.27174,-1.333878
187,Cevallos,Tungurahua,-78.60803,-1.347329
188,Mocha,Tungurahua,-78.69296,-1.415935
189,Patate,Tungurahua,-78.42286,-1.26364
190,Quero,Tungurahua,-78.6159,-1.441345
191,San Pedro de Pelileo,Tungurahua,-78.53148,-1.355498
192,Santiago de Pillaro,Tungurahua,-78.45068,-1.117914
193,Tisaleo,Tungurahua,-78.67308,-1.366379
194,Chinchipe,Zamora Chinchipe,-79.11722,-4.661433
195,El Pangui,Zamora Chinchipe,-78.53354,-3.620015
196,Nangaritza,Zamora Chinchipe,-78.75172,-4.327007
197,Yacuambi,Zamora Chinchipe,-78.96476,-3.60446
198,Yanzatza,Zamora Chinchipe,-78.65891,-3.743658
199,Zamora,Zamora Chinchipe,-78.91488,-3.985654
