id,name,lat,lon
1,AZUAY,-2.9390184389467238,-79.11235763594247
2,BOLIVAR,-1.6076666172496519,-79.09551596727522
3,CAÑAR,-2.521317446755748,-79.04343661877223
4,CARCHI,0.776290672498514,-78.04534774734164
5,COTOPAXI,-0.8282235350379201,-78.86404571620206
6,CHIMBORAZO,-1.997756715228121,-78.68341260744698
7,EL ORO,-3.5131084114030333,-79.7659595768674
8,ESMERALDAS,0.6612092747453949,-79.22041542520121
9,GUAYAS,-2.223075552505919,-79.85946110707933
10,IMBABURA,0.41481546771397565,-78.37328023291059
11,LOJA,-4.046100404630632,-79.71063158703306
12,LOS RIOS,-1.2702486561887567,-79.42704855092113
13,MANABI,-0.7446044087476429,-80.14167518920786
14,MORONA SANTIAGO,-2.58297750884538,-78.16664317062178
15,NAPO,-0.6169233775015845,-77.70851469068045
16,PASTAZA,-1.5611826531532669,-77.07962405888617
17,TUNGURAHUA,-1.2531060648609609,-78.52280642845218
18,PICHINCHA,-0.11676697946205698,-78.62063111637492
19,ZAMORA CHINCHIPE,-4.15573565485147,-78.89590934238997
20,GALAPAGOS,-0.5095149289466109,-90.79688960746815
21,SUCUMBIOS,-0.030776728948812015,-76.52846221845846
22,ORELLANA,-0.7216547903936442,-76.49911841831401
23,SANTO DOMINGO,-0.3101212026262193,-79.16092389654445
24,SANTA ELENA,-2.102847917027808,-80.58824539670154
25,ZONA NO DELIMITADA,-0.8017306839606202,-79.33398760581058
