id,name,division,lon,lat
5828,Alameda del Valle,Comunidad de Madrid,-3.849998,40.92089
5829,Berzosa del Lozoya,Comunidad de Madrid,-3.529239,40.97368
5830,Braojos,Comunidad de Madrid,-3.660155,41.05895
5831,Buitrago del Lozoya,Comunidad de Madrid,-3.628645,40.9884
5832,Bustarviejo,Comunidad de Madrid,-3.728449,40.84227
5833,Cabanillas de la Sierra,Comunidad de Madrid,-3.63475,40.82582
5834,Canencia,Comunidad de Madrid,-3.759721,40.89375
5835,Cervera de Buitrago,Comunidad de Madrid,-3.523888,40.91707
5836,El Atazar,Comunidad de Madrid,-3.466494,40.93963
5837,El Berrueco,Comunidad de Madrid,-3.557404,40.88193
5838,El Molar,Comunidad de Madrid,-3.571287,40.7004
5839,El Vellón,Comunidad de Madrid,-3.560503,40.76898
5840,Garganta de los Montes,Comunidad de Madrid,-3.684573,40.92845
5841,Gargantilla del Lozoya y Pinilla de Buitrago,Comunidad de Madrid,-3.703522,40.96737
5842,Gascones,Comunidad de Madrid,-3.673421,41.03537
5843,Guadalix de la Sierra,Comunidad de Madrid,-3.683824,40.76882
5844,Horcajo de la Sierra,Comunidad de Madrid,-3.582889,41.07945
5845,Horcajuelo de la Sierra,Comunidad de Madrid,-3.543945,41.09146
5846,La Acebeda,Comunidad de Madrid,-3.635813,41.09241
5847,La Cabrera,Comunidad de Madrid,-3.613223,40.8633
5848,La Hiruela,Comunidad de Madrid,-3.454732,41.06974
5849,La Serna del Monte,Comunidad de Madrid,-3.622135,41.03815
5850,Lozoya,Comunidad de Madrid,-3.783735,40.9622
5851,Lozoyuela-Navas-Sieteiglesias,Comunidad de Madrid,-3.62079,40.91694
5852,Madarcos,Comunidad de Madrid,-3.571995,41.04127
5853,Miraflores de la Sierra,Comunidad de Madrid,-3.777209,40.79717
5854,Montejo de la Sierra,Comunidad de Madrid,-3.511397,41.09141
5855,Navalafuente,Comunidad de Madrid,-3.677036,40.81764
5856,Navarredonda y San Mamés,Comunidad de Madrid,-3.729424,41.0051
5857,Patones,Comunidad de Madrid,-3.485129,40.88256
5858,Pedrezuela,Comunidad de Madrid,-3.624885,40.7421
5859,Pinilla del Valle,Comunidad de Madrid,-3.83146,40.93859
5860,Pinuécar-Gandullas,Comunidad de Madrid,-3.599137,41.02986
5861,Prádena del Rincón,Comunidad de Madrid,-3.509733,41.04
5862,Puebla de la Sierra,Comunidad de Madrid,-3.452296,41.00363
5863,Puentes Viejas,Comunidad de Madrid,-3.561208,40.97852
5864,Rascafría,Comunidad de Madrid,-3.895256,40.86447
5865,Redueña,Comunidad de Madrid,-3.59399,40.81649
5866,Robledillo de la Jara,Comunidad de Madrid,-3.5214,40.94877
5867,Robregordo,Comunidad de Madrid,-3.604538,41.12252
5868,San Agustín del Guadalix,Comunidad de Madrid,-3.631815,40.68598
5869,Somosierra,Comunidad de Madrid,-3.568736,41.14148
5870,Soto del Real,Comunidad de Madrid,-3.788797,40.74847
5871,Torrelaguna,Comunidad de Madrid,-3.546778,40.82257
5872,Torremocha de Jarama,Comunidad de Madrid,-3.50012,40.83366
5873,Valdemanco,Comunidad de Madrid,-3.665067,40.86283
5874,Venturada,Comunidad de Madrid,-3.62235,40.79762
5875,Villavieja del Lozoya,Comunidad de Madrid,-3.703342,41.02845
5876,Ajalvir,Comunidad de Madrid,-3.480141,40.52399
5877,Alcalá de Henares,Comunidad de Madrid,-3.369233,40.49459
5878,Algete,Comunidad de Madrid,-3.530284,40.60839
5879,Anchuelo,Comunidad de Madrid,-3.276817,40.46634
