id,name,lon,lat
ESP-5815,Ceuta,-5.347418,35.89247
ESP-5835,Melilla,-2.94444,35.29537
ESP-5837,Provincia de Navarra,-1.642535,42.66902
ESP-5823,Provincia de Guipuzcoa,-2.198414,43.14619
ESP-5825,Provincia de Huesca,-0.07019139,42.19869
ESP-5831,Provincia de Lleida,1.046562,42.03831
ESP-5820,Provincia de Girona,2.679008,42.12326
ESP-5838,Provincia de Ourense,-7.597931,42.19361
ESP-5840,Provincia de Pontevedra,-8.460854,42.44051
ESP-5852,Provincia de Zamora,-5.984927,41.72668
ESP-5841,Provincia de Salamanca,-6.077342,40.80631
ESP-5811,Provincia de Caceres,-6.173685,39.71071
ESP-5807,Provincia de Badajoz,-6.15212,38.70846
ESP-5812,Provincia de Cadiz,-5.760778,36.55289
ESP-5824,Provincia de Huelva,-6.832476,37.58088
ESP-5809,Provincia de Barcelona,1.984719,41.72866
ESP-5846,Provincia de Tarragona,0.8166515,41.08835
ESP-5814,Provincia de Castello,-0.140648,40.24101
ESP-5849,Provincia de Valencia,-0.8011221,39.3706
ESP-5803,Provincia de Alicante,-0.5676074,38.47822
ESP-5836,Murcia,-1.483273,38.00402
ESP-5804,Provincia de Almeria,-2.345482,37.19606
ESP-5821,Provincia de Granada,-3.266071,37.31361
ESP-5834,Provincia de Malaga,-4.730851,36.81309
ESP-5844,Provincia de Sevilla,-5.68289,37.43625
ESP-5827,Provincia da Coruna,-8.461607,43.12802
ESP-5832,Provincia de Lugo,-7.446047,43.0145
ESP-5805,Province of Asturias,-5.988629,43.2969
ESP-5813,Provincia de Cantabria,-4.033969,43.19931
ESP-5851,Bizkaia,-2.848116,43.24341
ESP-5842,Provincia de Santa Cruz de Tenerife,-17.03262,28.30548
ESP-5829,Provincia de Las Palmas,-14.54556,28.36659
ESP-5808,Illes Balears,2.903036,39.5713
ESP-5853,Provincia de Zaragoza,-1.064199,41.62071
ESP-5828,Provincia de La Rioja,-2.495561,42.28048
ESP-5801,Provincia de Alava,-2.717808,42.84445
ESP-5802,Provincia de Albacete,-1.978991,38.82641
ESP-5847,Provincia de Teruel,-0.8144155,40.65969
ESP-5818,Provincia de Cuenca,-2.195666,39.89649
ESP-5848,Province of Toledo,-4.1474,39.79328
ESP-5830,Provincia de Leon,-5.840532,42.62203
ESP-5845,Provincia de Soria,-2.589623,41.62062
ESP-5810,Provincia de Burgos,-3.580411,42.375
ESP-5806,Provincia de Avila,-4.942601,40.57102
ESP-5839,Provincia de Palencia,-4.537328,42.36872
ESP-5816,Provincia de Ciudad Real,-3.829785,38.92743
ESP-5817,Province of Cordoba,-4.808879,37.99256
ESP-5822,Provincia de Guadalajara,-2.622952,40.81424
ESP-5826,Provincia de Jaen,-3.441525,38.01955
ESP-5833,Provincia de Madrid,-3.717082,40.49505
ESP-5843,Provincia de Segovia,-4.053629,41.17141
ESP-5850,Provincia de Valladolid,-4.848193,41.63527
