id,name,division,lon,lat
1,Albánchez,Andalucía,-2.160602,37.28483
2,Albox,Andalucía,-2.136028,37.45011
3,Alcóntar,Andalucía,-2.623293,37.31379
4,Arboleas,Andalucía,-2.083871,37.35326
5,Armuña de Almanzora,Andalucía,-2.416073,37.35665
6,Bacares,Andalucía,-2.476741,37.25199
7,Bayarque,Andalucía,-2.447687,37.31468
8,Cantoria,Andalucía,-2.180312,37.34167
9,Chercos,Andalucía,-2.271813,37.26399
10,Fines,Andalucía,-2.267278,37.36537
11,Líjar,Andalucía,-2.230402,37.29305
12,Lúcar,Andalucía,-2.441822,37.43836
13,Laroya,Andalucía,-2.343746,37.28787
14,Macael,Andalucía,-2.296148,37.30919
15,Olula del Río,Andalucía,-2.303129,37.37909
16,Oria,Andalucía,-2.289349,37.49417
17,Partaloa,Andalucía,-2.229929,37.411
18,Purchena,Andalucía,-2.361082,37.37922
19,Serón,Andalucía,-2.54637,37.34185
20,Sierro,Andalucía,-2.393832,37.29399
21,Somontín,Andalucía,-2.390375,37.41799
22,Suflí,Andalucía,-2.380485,37.31717
23,Taberno,Andalucía,-2.062534,37.48038
24,Tíjola,Andalucía,-2.490748,37.40154
25,Urrácal,Andalucía,-2.348795,37.39286
26,Zurgena,Andalucía,-2.032262,37.35954
27,Alcudia de Monteagud,Andalucía,-2.255004,37.23389
28,Benitagla,Andalucía,-2.226208,37.23534
29,Benizalón,Andalucía,-2.217195,37.20308
30,Cóbdar,Andalucía,-2.185197,37.24902
31,Castro de Filabres,Andalucía,-2.451102,37.17951
32,Lubrín,Andalucía,-2.067202,37.2284
33,Lucainena de las Torres,Andalucía,-2.153915,37.04192
34,Olula de Castro,Andalucía,-2.487858,37.17279
35,Senés,Andalucía,-2.334601,37.18889
36,Sorbas,Andalucía,-2.089539,37.10025
37,Tabernas,Andalucía,-2.362939,37.07103
38,Tahal,Andalucía,-2.283277,37.18917
39,Turrillas,Andalucía,-2.262098,37.0289
40,Uleila del Campo,Andalucía,-2.186711,37.1767
41,Velefique,Andalucía,-2.399285,37.19669
42,Abla,Andalucía,-2.766642,37.16266
43,Abrucena,Andalucía,-2.826002,37.13067
44,Alboloduy,Andalucía,-2.628394,37.06253
45,Alhabia,Andalucía,-2.560412,36.99388
46,Alsodux,Andalucía,-2.569417,37.01931
47,Fiñana,Andalucía,-2.856525,37.18796
48,Gérgal,Andalucía,-2.556728,37.14995
49,Las Tres Villas,Andalucía,-2.720727,37.15997
50,Nacimiento,Andalucía,-2.6585,37.13482
51,Santa Cruz de Marchena,Andalucía,-2.580069,37.03758
52,Alcolea,Andalucía,-2.990078,36.93867
