id,name,distrito,lon,lat
17-2,San Cristobal,Villaverde,-3.688371,40.34089
17-3,Butarque,Villaverde,-3.676254,40.33712
17-5,Los Angeles,Villaverde,-3.699136,40.35579
17-4,Los Rosales,Villaverde,-3.688489,40.3557
17-1,"Villaverde Alto, Casco Histórico de Villaverde",Villaverde,-3.708949,40.34145
12-1,Orcasitas,Usera,-3.712417,40.36863
18-3,Ensanche de Vallecas,Villa de Vallecas,-3.602446,40.36642
11-6,Buenavista,Carabanchel,-3.74608,40.36709
10-6,Cuatro Vientos,Latina,-3.784052,40.36868
12-3,San Fermín,Usera,-3.689072,40.37061
18-1,Casco Histórico de Vallecas,Villa de Vallecas,-3.618222,40.34589
12-2,Orcasur,Usera,-3.698121,40.37222
12-6,Zofío,Usera,-3.715315,40.37937
12-7,Pradolongo,Usera,-3.707121,40.37814
11-7,Abrantes,Carabanchel,-3.726165,40.37898
11-5,Puerta Bonita,Carabanchel,-3.739087,40.37966
12-4,Almendrales,Usera,-3.699267,40.38367
18-2,Santa Eugenia,Villa de Vallecas,-3.611328,40.38343
11-4,Vista Alegre,Carabanchel,-3.745752,40.38432
13-1,Entrevías,Puente de Vallecas,-3.673112,40.37479
10-7,Aguilas,Latina,-3.771088,40.3818
13-4,Palomeras Sureste,Puente de Vallecas,-3.637294,40.38522
13-3,Palomeras Bajas,Puente de Vallecas,-3.658881,40.38476
2-4,Legazpi,Arganzuela,-3.687104,40.38892
12-5,Moscardó,Usera,-3.706816,40.389
11-2,Opañel,Carabanchel,-3.721778,40.39023
13-2,San Diego,Puente de Vallecas,-3.667867,40.39003
13-5,Portazgo,Puente de Vallecas,-3.648241,40.39061
11-1,Comillas,Carabanchel,-3.711964,40.3935
10-5,Campamento,Latina,-3.803663,40.38516
2-3,Chopera,Arganzuela,-3.699072,40.39477
2-5,Delicias,Arganzuela,-3.689889,40.3968
10-4,Aluche,Latina,-3.756691,40.39191
14-1,Pavones,Moratalaz,-3.632165,40.39853
19-3,Valderrivas,Vicálvaro,-3.602637,40.39879
11-3,San Isidro,Carabanchel,-3.728333,40.3966
19-2,Valdebernardo,Vicálvaro,-3.617628,40.3966
13-6,Numancia,Puente de Vallecas,-3.65853,40.3995
3-2,Adelfas,Retiro,-3.670973,40.40112
2-2,Acacias,Arganzuela,-3.707261,40.40107
3-1,Pacífico,Retiro,-3.678721,40.40435
2-6,Palos de Moguer,Arganzuela,-3.694622,40.40349
14-5,Fontarrón,Moratalaz,-3.646775,40.40142
2-7,Atocha,Arganzuela,-3.681932,40.39977
10-1,Cármenes,Latina,-3.73593,40.40149
14-6,Vinateros,Moratalaz,-3.642488,40.40525
10-3,Lucero,Latina,-3.750345,40.40229
14-2,Horcajo,Moratalaz,-3.626943,40.40858
2-1,Imperial,Arganzuela,-3.718361,40.40619
1-2,Embajadores,Centro,-3.702465,40.40924
14-3,Marroquina,Moratalaz,-3.640612,40.41073
3-6,Niño Jesús,Retiro,-3.673428,40.41161
10-2,Puerta del Angel,Latina,-3.731805,40.40969
14-4,Media Legua,Moratalaz,-3.65682,40.4119
1-3,Cortes,Centro,-3.696829,40.41484
1-6,Sol,Centro,-3.704556,40.41731
3-3,Estrella,Retiro,-3.66553,40.41409
3-5,Jerónimos,Retiro,-3.685144,40.41374
3-4,Ibiza,Retiro,-3.674338,40.41888
1-1,Palacio,Centro,-3.714071,40.41542
20-4,Arcos,San Blas - Canillejas,-3.617595,40.42122
