id,name,lon,lat
1,Centro,-3.70528,40.41732
2,Arganzuela,-3.696802,40.39801
3,Retiro,-3.676561,40.41123
4,Salamanca,-3.673807,40.43018
5,Chamartín,-3.678122,40.45746
6,Tetuán,-3.699986,40.46062
7,Chamberí,-3.70353,40.43755
8,Fuencarral - El Pardo,-3.75356,40.54479
9,Moncloa - Aravaca,-3.757164,40.44541
10,Latina,-3.778724,40.38521
11,Carabanchel,-3.737091,40.37887
12,Usera,-3.703054,40.37594
13,Puente de Vallecas,-3.659806,40.38355
14,Moratalaz,-3.641339,40.40662
15,Ciudad Lineal,-3.649984,40.43928
16,Hortaleza,-3.637795,40.48209
17,Villaverde,-3.695037,40.34252
18,Villa de Vallecas,-3.616012,40.34993
19,Vicálvaro,-3.572696,40.39353
20,San Blas - Canillejas,-3.598625,40.43456
21,Barajas,-3.574652,40.47575
