id,name,lon,lat
EST-2350,Viljandimaa,25.55837,58.33699
EST-2346,Parnumaa,24.55033,58.39642
EST-2349,Valgamaa,26.14303,57.93304
EST-2351,Vorumaa,26.91116,57.74795
EST-1655,Ida-Virumaa,27.32748,59.17772
EST-2347,Polva,27.1628,58.04399
EST-1659,Tartumaa,26.82999,58.39273
EST-1657,Jogevamaa,26.53687,58.72219
EST-1661,Laeaenemaa,23.76036,58.90131
EST-1654,Harjumaa,24.92435,59.31093
EST-1658,Laane-Virumaa,26.35567,59.26595
EST-2352,Saaremaa,22.53755,58.39256
EST-1660,Hiiumaa,22.61867,58.89325
EST-2348,Raplamaa,24.70288,58.92315
EST-1656,Jarvamaa,25.66667,58.9402
