id,name,lon,lat
FIN-3176,Lappland,26.33898,67.71951
FIN-3180,Norra OEsterbotten,26.62579,64.96693
FIN-3179,Kainuu,28.59274,64.5181
FIN-3190,Pohjois-Karjala,29.93131,62.91626
FIN-3188,Etela-Karjala,28.33566,61.21027
FIN-3187,Kymenlaakso,26.8896,60.82787
FIN-3193,Uusimaa,24.79623,60.37854
FIN-3191,Varsinais-Suomi,22.60193,60.57628
FIN-3192,Satakunta,22.15474,61.52966
FIN-3182,Osterbotten,22.14974,63.04598
FIN-3181,Mellersta Osterbotten,24.07613,63.62238
FIN-3178,Savo,27.46703,63.17272
FIN-3189,Etela-Savo,27.86994,61.90509
FIN-3177,Mellersta Finland,25.44304,62.53803
FIN-3183,Sodra Osterbotten,23.05679,62.73654
FIN-3186,Pirkanmaa,23.72893,61.7021
FIN-3185,Haeme,24.35464,60.92135
FIN-3184,Paijat-Hame,25.72146,61.21748
