id,name,lon,lat
FRA-2000,Guyane,-53.24455,3.922522
FRA-5330,Departement du Nord,3.205834,50.44517
FRA-5268,Departement des Ardennes,4.640267,49.61196
FRA-5263,Departement de l'Aisne,3.560817,49.55681
FRA-5326,Departement de la Meuse,5.382799,48.98764
FRA-5325,Departement de Meurthe-et-Moselle,6.160041,48.78551
FRA-5328,Departement de la Moselle,6.664453,49.02567
FRA-5266,Departement des Alpes-Maritimes,7.108938,43.93671
FRA-5265,Departement des Alpes-de-Haute-Provence,6.24026,44.10373
FRA-5304,Departement des Hautes-Alpes,6.263599,44.66169
FRA-5341,Departement de la Savoie,6.42878,45.47918
FRA-5302,Departement de la Haute-Savoie,6.421374,46.0517
FRA-5336,Departement des Pyrenees-Atlantiques,-0.769438,43.25208
FRA-5298,Departement de la Haute-Garonne,1.177472,43.35798
FRA-5305,Departement des Hautes-Pyrenees,0.164094,43.0487
FRA-5269,Departement de l'Ariege,1.498632,42.91473
FRA-5337,Departement des Pyrenees-Orientales,2.524155,42.59554
FRA-5273,Departement du Bas-Rhin,7.553024,48.66656
FRA-5296,Departement du Haut-Rhin,7.280802,47.85744
FRA-5348,Territoire de Belfort,6.933786,47.63313
FRA-5287,Departement du Doubs,6.356566,47.16664
FRA-5262,Departement de l'Ain,5.351092,46.10287
FRA-5312,Departement du Jura,5.698327,46.72794
FRA-5351,Departement du Var,6.245405,43.44184
FRA-5274,Departement des Bouches-du-Rhone,5.090142,43.54941
FRA-5293,Departement du Gard,4.183692,43.99407
FRA-5307,Departement de l'Herault,3.372356,43.58074
FRA-5271,Departement de l'Aude,2.415718,43.10094
FRA-5313,Departement des Landes,-0.7810557,43.96589
FRA-5295,Departement de la Gironde,-0.5753757,44.82582
FRA-5278,Departement de la Charente-Maritime,-0.6734182,45.78393
FRA-5353,Departement de la Vendee,-1.29224,46.67885
FRA-5316,Departement de la Loire-Atlantique,-1.676259,47.363
FRA-5327,Departement du Morbihan,-2.806602,47.85175
FRA-5292,Departement du Finistere,-4.057888,48.26923
FRA-5283,Departement des Cotes-d'Armor,-2.855368,48.44431
FRA-5308,Departement d'Ille-et-Vilaine,-1.639947,48.15278
FRA-5322,Departement de la Manche,-1.328802,49.08086
FRA-5275,Departement du Calvados,-0.3647716,49.10141
FRA-5290,Departement de l'Eure,0.9887315,49.11169
FRA-5343,Departement de la Seine-Maritime,1.022898,49.65598
FRA-5345,Departement de la Somme,2.269154,49.95694
FRA-5334,Departement du Pas-de-Calais,2.282858,50.49469
FRA-1442,Martinique,-61.01762,14.65641
FRA-4603,Guadeloupe,-61.52959,16.20831
FRA-4601,Reunion,55.54168,-21.11947
FRA-4602,NA,45.14218,-12.81741
FRA-5297,Departement de la Haute-Corse,9.203523,42.39712
FRA-5281,Departement de la Corse-du-Sud,8.985434,41.86869
FRA-5294,Departement du Gers,0.4594208,43.69125
FRA-5303,Departement de la Haute-Vienne,1.228754,45.89746
FRA-5280,Departement de la Correze,1.874451,45.35783
FRA-5347,Departement du Tarn-et-Garonne,1.280137,44.08598
FRA-5346,Departement du Tarn,2.165416,43.78492
FRA-5311,Departement de l'Isere,5.577285,45.26594
FRA-5288,Departement de la Drome,5.173952,44.68362
FRA-5272,Departement de l'Aveyron,2.674356,44.28181
FRA-5318,Departement du Lot,1.603714,44.62222
FRA-5310,Departement d'Indre-et-Loire,0.6942014,47.25721
FRA-5309,Departement de l'Indre,1.576436,46.77912
FRA-5314,Departement du Loir-et-Cher,1.43395,47.61569
FRA-5284,Departement de la Creuse,2.016318,46.08808
