id,name,lon,lat
GB.BX,Barnsley,-1.53356,53.52624
GB.BN,Bath and North East Somerset,-2.469959,51.35527
GB.CB,Bedfordshire,-0.4891571,52.19593
GB.BI,Birmingham,-1.864207,52.4845
GB.BW,Blackburn with Darwen,-2.469855,53.69514
GB.BP,Blackpool,-3.031353,53.82126
GB.BT,Bolton,-2.477029,53.57859
GB.BM,Bournemouth,-1.865144,50.74716
GB.BC,Bracknell Forest,-0.7412733,51.40884
GB.BV,Bradford,-1.84826,53.84386
GB.BH,Brighton and Hove,-0.1379661,50.84495
GB.BS,Bristol,-2.594693,51.46956
GB.BU,Buckinghamshire,-0.8089871,51.78436
GB.BR,Bury,-2.32136,53.59077
GB.CX,Calderdale,-1.969037,53.71886
GB.CM,Cambridgeshire,0.1764446,52.46377
GB.CB,Central Bedfordshire,-0.4316355,52.01615
GB.CQ,Cheshire East,-2.365561,53.17511
GB.CZ,Cheshire West and Chester,-2.732176,53.21242
GB.CO,Cornwall,-4.826014,50.40523
GB.CT,Coventry,-1.520599,52.42217
GB.CU,Cumbria,-2.901008,54.59475
GB.DA,Darlington,-1.562108,54.54577
GB.DE,Derby,-1.476452,52.91441
GB.DB,Derbyshire,-1.621617,53.14744
GB.DO,Devon,-3.807224,50.76185
GB.DC,Doncaster,-1.09706,53.54759
GB.DS,Dorset,-2.323801,50.80691
GB.DY,Dudley,-2.101436,52.47171
GB.DH,Durham,-1.840066,54.69278
GB.EY,East Riding of Yorkshire,-0.5019078,53.86175
GB.ES,East Sussex,0.2740775,50.94157
GB.EX,Essex,0.5680213,51.80604
GB.GH,Gateshead,-1.675249,54.92938
GB.GC,Gloucestershire,-2.114723,51.82316
GB.GL,Greater London,-0.1026531,51.49735
GB.HL,Halton,-2.718285,53.34663
GB.HA,Hampshire,-1.288961,51.06731
GB.HP,Hartlepool,-1.270096,54.66971
GB.HE,Herefordshire,-2.734938,52.10254
GB.HT,Hertfordshire,-0.2148956,51.82576
GB.IW,Isle of Wight,-1.298565,50.67495
GB.IS,Isles of Scilly,-6.318549,49.93583
GB.KE,Kent,0.7367833,51.21885
GB.KH,Kingston upon Hull,-0.3320438,53.76523
GB.KK,Kirklees,-1.759477,53.62625
GB.KN,Knowsley,-2.838334,53.42806
GB.LA,Lancashire,-2.612291,53.85174
GB.LS,Leeds,-1.498795,53.82521
GB.LC,Leicester,-1.140212,52.63702
GB.LE,Leicestershire,-1.10451,52.67232
GB.LI,Lincolnshire,-0.2482017,53.12503
GB.LU,Luton,-0.4248223,51.89695
GB.MN,Manchester,-2.242028,53.45649
GB.MW,Medway,0.5556638,51.41371
GB.MB,Middlesbrough,-1.238911,54.54403
GB.MK,Milton Keynes,-0.7315588,52.08029
GB.NU,Newcastle upon Tyne,-1.648624,55.00088
GB.NF,Norfolk,1.131994,52.64849
GB.NL,North Lincolnshire,-0.5869387,53.58236
GB.NS,North Somerset,-2.790231,51.39021
GB.NI,North Tyneside,-1.511999,55.02246
GB.NY,North Yorkshire,-1.419606,54.18871
GB.NA,Northamptonshire,-0.8625295,52.30723
GB.NB,Northumberland,-2.064126,55.23681
GB.NG,Nottingham,-1.186209,52.95999
GB.NT,Nottinghamshire,-1.012968,53.13337
GB.OL,Oldham,-2.050176,53.55638
GB.OX,Oxfordshire,-1.314978,51.76263
GB.PB,Peterborough,-0.2614566,52.60664
GB.PM,Plymouth,-4.124696,50.39522
GB.PL,Poole,-1.96551,50.7418
