id,name,lon,lat
GBR-2083,City of Derry,-7.214701,54.94566
GBR-2135,Strabane District,-7.43098,54.75913
GBR-2136,Fermanagh District,-7.645651,54.34871
GBR-2089,Dungannon District,-6.930954,54.45666
GBR-2085,Armagh District,-6.629614,54.32026
GBR-2086,Newry and Mourne District,-6.290159,54.15276
GBR-2126,County of Flintshire,-3.162554,53.21071
GBR-5707,Cheshire West and Chester,-2.728863,53.17574
GBR-2127,Wrexham,-3.056684,52.96184
GBR-2779,Shropshire,-2.724454,52.62895
GBR-2111,Sir Powys,-3.404155,52.30751
GBR-2775,Herefordshire,-2.740155,52.09797
GBR-2132,Monmouthshire,-2.866867,51.76649
GBR-2039,Gloucestershire,-2.113901,51.82346
GBR-2026,The Scottish Borders,-2.785797,55.57343
GBR-2034,Northumberland,-2.061705,55.23869
GBR-2139,Cumbria,-2.893812,54.59189
GBR-2138,Dumfries and Galloway,-3.952434,55.0771
GBR-2102,Limavady District,-6.938968,54.98876
GBR-2100,Coleraine District,-6.684721,55.0675
GBR-2773,Moyle District,-6.241169,55.14449
GBR-2095,Larne District,-5.910497,54.87504
GBR-2096,Carrickfergus District,-5.815777,54.7398
GBR-2097,Newtownabbey District,-5.975303,54.7202
GBR-2082,City of Belfast,-5.957405,54.6089
GBR-2098,North Down District,-5.715905,54.64644
GBR-2137,Ards District,-5.608691,54.51878
GBR-2099,Down District,-5.798625,54.32926
GBR-2017,Clackmannanshire,-3.730047,56.14845
GBR-2016,Stirling,-4.325761,56.24156
GBR-2015,Falkirk,-3.782723,55.98511
GBR-2025,West Lothian,-3.570238,55.88123
GBR-2023,City of Edinburgh,-3.285341,55.91831
GBR-2024,Midlothian,-3.091013,55.82704
GBR-2022,East Lothian,-2.701704,55.93772
GBR-5662,Borough of North Tyneside,-1.512125,55.02782
GBR-5663,Borough of South Tyneside,-1.441719,54.95175
GBR-5664,City and Borough of Sunderland,-1.461562,54.86623
GBR-2029,County Durham,-1.827987,54.68943
GBR-2030,Borough of Hartlepool,-1.262518,54.65829
GBR-2032,Borough of Redcar and Cleveland,-1.029698,54.55312
GBR-2140,North Yorkshire,-1.412477,54.19078
GBR-2124,East Riding of Yorkshire,-0.4883225,53.86821
GBR-2055,City of Kingston upon Hull,-0.3782765,53.75287
GBR-2057,North Lincolnshire,-0.5825127,53.58873
GBR-2056,North East Lincolnshire,-0.1309911,53.53601
GBR-2081,Lincolnshire,-0.2438465,53.10692
GBR-2319,Norfolk,0.9629332,52.66415
GBR-2318,Suffolk,1.06582,52.21377
GBR-2317,Essex,0.5610821,51.80698
GBR-2679,Borough of Southend-on-Sea,0.7207626,51.55021
GBR-2676,Borough of Thurrock,0.3680858,51.50444
GBR-3409,Kent,0.7344631,51.22062
GBR-2678,Borough of Medway,0.5745913,51.40947
GBR-2677,East Sussex,0.280448,50.94231
GBR-2674,Borough of Brighton and Hove,-0.1143056,50.84003
GBR-2748,West Sussex,-0.4844633,50.95589
GBR-2035,Hampshire,-1.286018,51.07134
GBR-2759,City of Portsmouth,-1.030334,50.81519
GBR-2036,City of Southampton,-1.369031,50.91108
GBR-2051,Dorset,-2.31426,50.80966
GBR-2050,Borough of Bournemouth,-1.877615,50.73574
GBR-2052,Borough of Poole,-1.964613,50.73671
GBR-2048,Devon,-3.811425,50.76776
GBR-2142,Borough of Torbay,-3.568427,50.44953
GBR-2141,City of Plymouth,-4.116626,50.398
GBR-2110,Isles of Scilly,-4.827433,50.40445
GBR-2047,Somerset,-2.931788,51.0996
GBR-2045,North Somerset,-2.799245,51.38553
GBR-2044,City of Bristol,-2.603496,51.45222
GBR-2046,South Gloucestershire,-2.447657,51.53228
