id,name,lon,lat
GT.AV,Alta Verapaz,-90.13244,15.63553
GT.BV,Baja Verapaz,-90.37107,15.1012
GT.CM,Chimaltenango,-90.92038,14.69391
GT.CQ,Chiquimula,-89.41828,14.69011
GT.PR,El Progreso,-90.08055,14.89484
GT.ES,Escuintla,-90.99641,14.16377
GT.GU,Guatemala,-90.4878,14.62977
GT.HU,Huehuetenango,-91.54557,15.65937
GT.IZ,Izabal,-89.0386,15.55097
GT.JA,Jalapa,-89.94503,14.62017
GT.JU,Jutiapa,-89.89225,14.21149
GT.PE,Petén,-90.01502,16.97357
GT.QZ,Quezaltenango,-91.71413,14.78749
GT.QC,Quiché,-90.93634,15.43251
GT.RE,Retalhuleu,-91.78943,14.41869
GT.SA,Sacatepéquez,-90.74148,14.55277
GT.SM,San Marcos,-91.93232,15.01935
GT.SR,Santa Rosa,-90.33396,14.16697
GT.SO,Sololá,-91.25895,14.71662
GT.SU,Suchitepéquez,-91.40866,14.40344
GT.TO,Totonicapán,-91.37724,15.01313
GT.ZA,Zacapa,-89.50699,15.03525
