id,name,depto,lon,lat
1,Chahal,Alta Verapaz,-89.57175,15.76264
2,Chisec,Alta Verapaz,-90.27361,15.87856
3,Cobán,Alta Verapaz,-90.56203,15.69863
4,Fray Bartolomé de las Casas,Alta Verapaz,-89.76714,15.85008
5,Lanquín,Alta Verapaz,-89.984,15.57831
6,Panzós,Alta Verapaz,-89.77544,15.25731
7,San Cristóbal Verapaz,Alta Verapaz,-90.5621,15.40213
8,San Juan Chamelco,Alta Verapaz,-90.24395,15.38758
9,San Pedro Carchá,Alta Verapaz,-90.16388,15.58593
10,Santa Cruz Verapaz,Alta Verapaz,-90.41701,15.34447
11,Santa María Cahabón,Alta Verapaz,-89.78693,15.61343
12,Senahú,Alta Verapaz,-89.84066,15.42704
13,Tactic,Alta Verapaz,-90.34688,15.29959
14,Tamahú,Alta Verapaz,-90.22764,15.30596
15,Tucurú,Alta Verapaz,-90.07604,15.30657
16,Cubulco,Baja Verapaz,-90.66888,15.11462
17,Granados,Baja Verapaz,-90.57454,14.93605
18,Purulhá,Baja Verapaz,-90.09607,15.22034
19,Rabinal,Baja Verapaz,-90.49848,15.11068
20,Salamá,Baja Verapaz,-90.24385,15.07535
21,San Jerónimo,Baja Verapaz,-90.16649,15.06218
22,San Miguel Chicaj,Baja Verapaz,-90.40679,15.1571
23,Santa Cruz El Chol,Baja Verapaz,-90.4839,14.95401
24,Acatenango,Chimaltenango,-90.95081,14.54371
25,Chimaltenango,Chimaltenango,-90.81556,14.68665
26,Comalapa,Chimaltenango,-90.89359,14.74367
27,El Tejar,Chimaltenango,-90.78514,14.66984
28,Parramos,Chimaltenango,-90.81995,14.58483
29,Patzún,Chimaltenango,-91.03128,14.64297
30,Patzicía,Chimaltenango,-90.9367,14.63207
31,Pochuta,Chimaltenango,-91.07148,14.52939
32,San Andrés Itzapa,Chimaltenango,-90.86085,14.60274
33,San José Poaquil,Chimaltenango,-90.90428,14.85272
34,San Martín Jilotepeque,Chimaltenango,-90.7807,14.84284
35,Santa Apolonia,Chimaltenango,-90.9511,14.81596
36,Santa Cruz Balanyá,Chimaltenango,-90.92865,14.68972
37,Tecpán Guatemala,Chimaltenango,-91.00119,14.80191
38,Yepocapa,Chimaltenango,-90.9816,14.46032
39,Zaragoza,Chimaltenango,-90.873,14.67653
40,Camotán,Chiquimula,-89.27724,14.85385
41,Chiquimula,Chiquimula,-89.57326,14.80048
42,Concepción Las Minas,Chiquimula,-89.44195,14.48653
