id,name,depto,lon,lat
1,Barima / Amakura,Barima-Waini,-59.81007,7.883812
2,Mabaruma / Kumaka / Hosororo,Barima-Waini,-59.80736,8.289566
3,Matthews Ridge / Arakaka (Matakai) / Port Kaituma,Barima-Waini,-60.03003,7.600863
4,Rest of Region 1,Barima-Waini,-59.97013,7.357927
5,Waini,Barima-Waini,-59.2987,7.711813
6,Agatash,Cuyuni-Mazaruni,-58.64124,6.381759
7,Arau,Cuyuni-Mazaruni,-61.0817,6.377741
8,Bartica,Cuyuni-Mazaruni,-58.62333,6.4061
9,"Jawalla, Kubenang River",Cuyuni-Mazaruni,-60.3866,5.798343
10,Kamarang,Cuyuni-Mazaruni,-60.60333,6.012219
11,Karambaru to Kukui River + Phillipi,Cuyuni-Mazaruni,-60.2977,5.426382
12,Paruima,Cuyuni-Mazaruni,-61.07772,5.831369
13,Rest of Region 7,Cuyuni-Mazaruni,-59.83971,6.224162
14,Waramadan,Cuyuni-Mazaruni,-60.79431,5.859285
15,Cane Grove Land Development Scheme,Demerara-Mahaica,-57.92642,6.638029
16,City of Georgetown,Demerara-Mahaica,-58.14206,6.799575
17,Demerara Conservancy,Demerara-Mahaica,-58.06408,6.631353
18,Diamond / Golden Grove,Demerara-Mahaica,-58.16367,6.707718
19,Eccles / Ramsburg,Demerara-Mahaica,-58.15644,6.761022
20,Enmore / Hope,Demerara-Mahaica,-58.00024,6.72227
21,Foulis / Buxton,Demerara-Mahaica,-58.02235,6.737035
22,Good Success / Caledonia,Demerara-Mahaica,-58.18415,6.641232
23,Grove / Haslington,Demerara-Mahaica,-57.97191,6.705508
24,Herstelling / Little Diamond,Demerara-Mahaica,-58.17836,6.738797
25,La Bonne Intention / Better Hope,Demerara-Mahaica,-58.08462,6.772132
26,La Reconnaissance / Mon Repos,Demerara-Mahaica,-58.05203,6.759939
27,Mocha / Arcadia,Demerara-Mahaica,-58.14544,6.729926
28,Plaisance / Industry,Demerara-Mahaica,-58.10981,6.771577
29,Soesdyke-Linden highway (including Timehri),Demerara-Mahaica,-58.23011,6.345043
30,St. Cuthberts / Orange Nassau (Mahaica River),Demerara-Mahaica,-58.08763,6.413218
31,Te Huist Coverden / Soesdyke,Demerara-Mahaica,-58.21623,6.55377
32,Triumph / Beterverwagting,Demerara-Mahaica,-58.0675,6.769429
33,Vereeniging / Unity,Demerara-Mahaica,-57.93231,6.686796
34,Black Bush Polder land Development Scheme,East Berbice-Corentyne,-57.27707,6.090915
35,Borlam ( No.37 ) / Kintyre,East Berbice-Corentyne,-57.46319,6.307855
36,Bush Lot / Adventure,East Berbice-Corentyne,-57.27556,6.176409
37,Cane Field / Enterprise,East Berbice-Corentyne,-57.45654,6.22927
38,Corentyne River,East Berbice-Corentyne,-57.52656,5.486749
39,Corriverton,East Berbice-Corentyne,-57.19119,5.896276
40,East Bank Berbice,East Berbice-Corentyne,-57.70328,2.769235
41,Enfield / New Doe Park,East Berbice-Corentyne,-57.51834,6.143376
42,Fyrish / Gibraltar,East Berbice-Corentyne,-57.39418,6.280498
43,Hampshire / Kilcoy,East Berbice-Corentyne,-57.37009,6.219607
44,Hogstye / Lancaster,East Berbice-Corentyne,-57.30138,6.1981
