id,name,lon,lat
HKG-5168,North,114.184,22.51472
HKG-5170,Islands District,113.9513,22.2508
HKG-5156,Southern,114.1988,22.23816
HKG-5153,Central and Western District,114.143,22.27392
HKG-5154,Wan Chai,114.1773,22.26854
HKG-5155,Eastern,114.215,22.27095
HKG-5165,Tsuen Wan District,114.0937,22.37603
HKG-5169,Tai Po District,114.2465,22.45089
HKG-5163,Sha Tin,114.2027,22.38623
HKG-5162,Sai Kung District,114.3082,22.36417
HKG-5161,Kwon Tong,114.2261,22.3137
HKG-5158,Kowloon City,114.1894,22.3221
HKG-5157,Yau Tsim Mong,114.1703,22.30837
HKG-5159,Sham Shui Po,114.163,22.33296
HKG-5164,Kwai Tsing,114.1379,22.35302
HKG-5166,Tuen Mun,113.9691,22.39034
HKG-5167,Yuen Long District,114.0493,22.44587
HKG-5160,Wong Tai Sin,114.2103,22.34298
