id,name,lon,lat
HRV-1609,Medimurska Zupanija,16.51038,46.40649
HRV-1606,Viroviticko-Podravska Zupanija,17.61547,45.73063
HRV-1608,Koprivnicko-Krizevacka Zupanija,16.81736,46.08899
HRV-1603,Osjecko-Baranjska Zupanija,18.51283,45.56882
HRV-1610,Varazdinska Zupanija,16.31784,46.24121
HRV-1582,Krapinsko-Zagorska Zupanija,15.9248,46.09228
HRV-1588,Zagrebacka Zupanija,16.0097,45.76922
HRV-1583,Karlovacka Zupanija,15.45301,45.28485
HRV-1586,Primorsko-Goranska Zupanija,14.64309,45.23679
HRV-1592,Istarska Zupanija,13.8925,45.20469
HRV-1490,Dubrovacko-Neretvanska Zupanija,17.51279,42.87369
HRV-1587,Sisacko-Moslavacka Zupanija,16.38956,45.38447
HRV-1602,Brodsko-Posavska Zupanija,17.75101,45.20943
HRV-1493,Zadarska Zupanija,15.75461,44.27397
HRV-1605,Vukovarsko-Srijemska Zupanija,18.89164,45.18112
HRV-1492,Splitsko-Dalmatinska Zupanija,16.70382,43.49227
HRV-1491,Sibensko-Kninska Zupanija,16.02666,43.79858
HRV-1584,Licko-Senjska Zupanija,15.23089,44.7207
HRV-1607,Bjelovarsko-Bilogorska Zupanija,16.98856,45.7352
HRV-1589,Grad Zagreb,15.9796,45.81923
HRV-1604,Brodsko-Posavska Zupanija,17.70013,45.42437
