id,name,lon,lat
HUN-3169,Szabolcs-Szatmar-Bereg megye,22.10963,47.99456
HUN-3171,Bekes megye,21.00186,46.73968
HUN-3173,Hajdu-Bihar megye,21.43014,47.47086
HUN-3172,Csongrad megye,20.20949,46.44301
HUN-3156,Gyor-Moson-Sopron megye,17.26653,47.64916
HUN-4904,Gyor-Moson-Sopron megye,16.58004,47.68834
HUN-3138,Vas megye,16.74692,47.14192
HUN-3161,Bacs-Kiskun megye,19.36562,46.56189
HUN-4916,Csongrad megye,20.13251,46.25727
HUN-3159,Zala megye,16.8386,46.67703
HUN-3157,Somogy megye,17.59574,46.45261
HUN-3155,Baranya megye,18.20702,46.04203
HUN-3168,Borsod-Abauj-Zemplen megye,20.98319,48.2015
HUN-3166,Nograd megye,19.50814,47.98139
HUN-4921,Nograd megye,19.79406,48.10317
HUN-3163,Komarom-Esztergom megye,18.31028,47.62026
HUN-3164,Pest megye,19.37217,47.41971
HUN-3175,Jasz-Nagykun-Szolnok megye,20.43056,47.26729
HUN-3162,Fejer megye,18.536,47.13155
HUN-3158,Veszprem megye,17.60686,47.1055
HUN-3165,Tolna megye,18.54159,46.51762
HUN-4918,Jasz-Nagykun-Szolnok megye,20.1683,47.20995
HUN-3160,Budapest fovaros,19.10478,47.48017
HUN-4907,Pest megye,18.89098,47.37804
HUN-3174,Heves megye,20.18248,47.77524
HUN-4920,Heves megye,20.36635,47.92451
HUN-4922,Borsod-Abauj-Zemplen megye,20.71925,48.10973
HUN-4917,Csongrad megye,20.39437,46.38575
HUN-4925,Fejer megye,18.89987,46.93716
HUN-4915,Bacs-Kiskun megye,19.67247,46.91641
HUN-4906,Komarom-Esztergom megye,18.44396,47.56988
HUN-4905,Gyor-Moson-Sopron megye,17.66381,47.66485
HUN-4903,Vas megye,16.6172,47.22554
HUN-4910,Zala megye,16.84096,46.84714
HUN-4911,Zala megye,16.98271,46.45841
HUN-4909,Veszprem megye,17.9169,47.11801
HUN-4912,Somogy megye,17.79352,46.3548
HUN-4913,Baranya megye,18.23916,46.08437
HUN-4914,Tolna megye,18.72883,46.3537
HUN-4908,Fejer megye,18.46856,47.186
HUN-4919,Bekes megye,21.09129,46.74802
HUN-4924,Hajdu-Bihar megye,21.6328,47.54625
HUN-4923,Szabolcs-Szatmar-Bereg megye,21.75433,47.93517
