id,name,lon,lat
IRL-729,County Donegal,-7.906472,54.92118
IRL-730,County Leitrim,-8.016342,54.1358
IRL-79,An Cabhan,-7.335525,53.99216
IRL-3412,County Monaghan,-6.923998,54.1559
IRL-712,Lu,-6.407593,53.91192
IRL-5575,Dublin City,-6.257446,53.36716
IRL-5576,Dun Laoghaire-Rathdown,-6.19113,53.25441
IRL-719,Wicklow,-6.369125,52.97701
IRL-718,Loch Garman,-6.57262,52.45932
IRL-722,Kilkenny,-7.22851,52.57164
IRL-1444,Waterford,-7.610357,52.17171
IRL-78,County Cork,-8.835508,51.91925
IRL-5569,Cork City,-8.470393,51.88474
IRL-725,Ciarrai,-9.717997,52.11125
IRL-726,County Limerick,-8.740214,52.4868
IRL-76,An Clar,-9.027561,52.84925
IRL-713,County Galway,-8.928996,53.3622
IRL-5568,Galway City,-9.018323,53.29194
IRL-714,Maigh Eo,-9.381033,53.92257
IRL-728,Sligo,-8.619733,54.15733
IRL-715,An Mhi,-6.72228,53.63339
IRL-5574,Fingal County,-6.249953,53.49793
IRL-721,Kildare,-6.811321,53.19056
IRL-77,County Carlow,-6.81707,52.72895
IRL-723,Laois,-7.352494,52.98151
IRL-5573,South Dublin,-6.394184,53.28077
IRL-716,Uibh Fhaili,-7.593741,53.20842
IRL-717,An Iarmhi,-7.436556,53.52806
IRL-731,An Longfort,-7.719479,53.71485
IRL-727,Roscommon,-8.248193,53.72349
IRL-724,Tipperary North Riding,-8.034727,52.82599
IRL-5572,Tipperary South Riding,-7.864452,52.45343
IRL-5571,Waterford City,-7.079545,52.23399
IRL-5570,Limerick City,-8.608405,52.65039
