id,name,lon,lat
JAM-1379,Parish of Saint Ann,-77.26594,18.31582
JAM-1375,Parish of Trelawny,-77.61366,18.35582
JAM-1374,Parish of Saint James,-77.85681,18.38422
JAM-1371,Parish of Hanover,-78.14008,18.37308
JAM-1376,Parish of Westmoreland,-78.09914,18.23922
JAM-1373,Parish of Saint Elizabeth,-77.75068,18.05094
JAM-1372,Parish of Manchester,-77.5133,18.02801
JAM-1370,Parish of Clarendon,-77.28334,17.98539
JAM-1380,Parish of Saint Catherine,-77.02133,18.04696
JAM-1382,Parish of Saint Andrew,-76.7609,18.04672
JAM-1377,Parish of Kingston,-76.7648,17.97759
JAM-1383,Parish of Saint Thomas,-76.45179,17.94755
JAM-1378,Parish of Portland,-76.51947,18.11769
JAM-1381,Parish of Saint Mary,-76.89172,18.28082
