id,name,lon,lat
JOR-854,Irbid,35.79097,32.51256
JOR-858,Muhafazat Madaba,35.67546,31.57611
JOR-859,Al Karak,35.77198,31.12811
JOR-852,Muhafazat at Tafilah,35.62764,30.77853
JOR-849,Muhafazat al `Aqabah,35.31984,29.79738
JOR-857,Muhafazat al Balqa',35.6678,31.97635
JOR-850,Al Mafraq,37.92064,32.37728
JOR-853,Muhafazat Ma`an,36.53874,30.34257
JOR-851,Muhafazat `Amman,36.34283,31.57826
JOR-860,Muhafazat az Zarqa',36.84428,31.82492
JOR-855,Muhafazat `Ajlun,35.73798,32.28704
JOR-856,Jerash,35.8793,32.22161
