id,name,lon,lat
JPN-3501,Kagoshima-ken,130.6132,31.45797
JPN-1835,Oita-ken,131.4286,33.19394
JPN-1829,Fukuoka-ken,130.6621,33.52418
JPN-1827,Saga-ken,130.1091,33.27364
JPN-3500,Nagasaki-ken,129.6059,33.23817
JPN-1830,Kumamoto-ken,130.7439,32.60571
JPN-1831,Miyazaki-ken,131.2901,32.18349
JPN-1836,Tokushima-ken,134.2332,33.91232
JPN-1833,Kagawa-ken,134.0074,34.23643
JPN-1832,Ehime-ken,132.8512,33.61411
JPN-1834,Kochi-ken,133.3499,33.40658
JPN-1824,Shimane-ken,132.5546,35.06899
JPN-1826,Yamaguchi-ken,131.565,34.19408
JPN-1825,Tottori-ken,133.8502,35.35611
JPN-1849,Hyogo-ken,134.8219,35.039
JPN-1850,Kyoto-fu,135.4295,35.24761
JPN-1848,Fukui-ken,136.1951,35.82655
JPN-1842,Ishikawa-ken,136.7631,36.77494
JPN-1846,Toyama-ken,137.2375,36.63024
JPN-1867,Niigata-ken,138.9,37.51411
JPN-1868,Yamagata-ken,140.0881,38.43645
JPN-1862,Akita-ken,140.3998,39.74695
JPN-1863,Aomori-ken,140.8324,40.78318
JPN-1865,Iwate-ken,141.3587,39.5936
JPN-1866,Miyagi Ken,140.9201,38.4397
JPN-1864,Fukushima-ken,140.215,37.37276
JPN-1856,Ibaraki-ken,140.3128,36.29484
JPN-1855,Chiba-ken,140.1906,35.50992
JPN-1860,Tokyo-to,139.5728,35.05932
JPN-1857,Kanagawa-ken,139.3261,35.40076
JPN-1845,Shizuoka-ken,138.3192,35.00903
JPN-1840,Aichi-ken,137.2013,35.02681
JPN-1843,Mie-ken,136.3737,34.50552
JPN-1854,Wakayama-ken,135.4982,33.90372
JPN-1852,Osaka-fu,135.4935,34.59479
JPN-1822,Okayama-ken,133.8083,34.89717
JPN-1821,Hiroshima-ken,132.7851,34.60521
JPN-1847,Hokkaido,142.5667,43.38278
JPN-3502,Okinawa-ken,127.6666,26.64301
JPN-3503,Gunma-ken,138.9603,36.4972
JPN-1844,Nagano-ken,138.0231,36.12516
JPN-1859,Tochigi-ken,139.7971,36.68429
JPN-1841,Gifu-ken,137.0334,35.76802
JPN-1853,Shiga-ken,136.1227,35.20123
JPN-1858,Saitama-ken,139.3221,35.98733
JPN-1861,Yamanashi-ken,138.5924,35.5999
JPN-1851,Nara-ken,135.8597,34.29399
