id,name,lon,lat
KAZ-3206,Shyghys Qazaqstan Oblysy,81.52201,48.78195
KAZ-3207,Almaty Oblysy,77.96747,44.9641
KAZ-3252,Zhambyl Oblysy,72.19861,44.29336
KAZ-3251,Yuzhno-Kazakhstanskaya Oblast',68.5057,43.20776
KAZ-3236,Mangistauskaya Oblast',53.94338,44.10204
KAZ-3197,Qyzylorda Oblysy,63.6792,45.13742
KAZ-3195,Aktyubinskaya Oblast',58.56757,48.58932
KAZ-3204,Severo-Kazakhstanskaya Oblast',69.26671,53.8346
KAZ-3196,Qostanay Oblysy,64.05571,51.57417
KAZ-3205,Pavlodar Oblysy,76.24629,52.05414
KAZ-3201,Batys Qazaqstan Oblysy,50.67864,49.78195
KAZ-3198,Atyrau Oblysy,52.1369,47.52553
KAZ-3202,Aqmola Oblysy,69.97979,51.75908
KAZ-3203,Qaraghandy Oblysy,71.02007,48.17474
KAZ-4829,Almaty Qalasy,76.93307,43.2892
KAZ-4830,Astana Qalasy,71.43207,51.15038
