id,name,lon,lat
KNA-5108,Saint Paul Charlestown,-62.60654,17.13544
KNA-5105,Saint John Figtree,-62.59168,17.11835
KNA-5102,Saint George Gingerland,-62.5569,17.12696
KNA-5103,Saint James Windward,-62.57042,17.17434
KNA-5110,Saint Thomas Lowland,-62.60516,17.15925
KNA-5107,Saint Paul Capesterre,-62.83238,17.3877
KNA-5100,Saint Anne Sandy Point,-62.83658,17.35921
KNA-5111,Saint Thomas Middle Island,-62.79375,17.33026
KNA-5112,Trinity Palmetto Point,-62.74756,17.30821
KNA-5101,Saint George Basseterre,-62.67125,17.26607
KNA-5109,Saint Peter Basseterre,-62.70924,17.32218
KNA-5106,Saint Mary Cayon,-62.72843,17.34695
KNA-5099,Christ Church Nichola Town,-62.76106,17.35641
KNA-5104,Saint John Capesterre,-62.79711,17.38293
