id,name,lon,lat
KOS-5889,Komuna e Decanit,20.2322,42.5385
KOS-5890,Komuna e Gjakoves,20.39334,42.38872
KOS-5909,Komuna e Dragashit,20.66628,41.99835
KOS-5908,Komuna e Prizrenit,20.70275,42.19947
KOS-5904,Komuna e Gjilanit,21.44212,42.43273
KOS-5905,Komuna e Vitise,21.35837,42.31138
KOS-5915,Komuna e Kacanikut,21.2253,42.20567
KOS-5914,Opstina Strpce,20.99633,42.22334
KOS-5893,Komuna e Leposaviqit,20.79045,43.11791
KOS-5901,Opstina Podujevo,21.17748,42.89989
KOS-5897,Komuna e Zubin Potokut,20.63031,42.92291
KOS-5892,Opstina Zvecan,20.76477,42.96905
KOS-5887,Komuna e Istogut,20.48932,42.77054
KOS-5902,Komuna e Prishtines,21.25494,42.67929
KOS-5907,Opstina Kamenica,21.58631,42.6001
KOS-5886,Komuna e Pejes,20.27196,42.67436
KOS-5891,Komuna e Rahovecit,20.60315,42.39443
KOS-5896,Komuna e Skenderajt,20.74496,42.73145
KOS-5888,Komuna e Klines,20.59019,42.6031
KOS-5894,Komuna e Mitrovices,20.91001,42.92823
KOS-5899,Komuna e Drenasit,20.87147,42.6043
KOS-5911,Komuna e Malisheves,20.73056,42.48605
KOS-5910,Komuna e Therandes,20.84955,42.34112
KOS-5913,Komuna e Ferizajt,21.13202,42.36121
KOS-5906,Opstina Novo Brdo,21.39071,42.57741
KOS-5900,Komuna e Obiliqit,21.04113,42.68954
KOS-5898,Opstina Kosovo Polje,21.03212,42.60466
KOS-5903,Komuna e Lipjanit,21.10678,42.51276
KOS-5912,Komuna e Shtimes,20.99709,42.41788
KOS-5895,Opstina Vucitrn,20.9763,42.80335
