id,name,lat,lon
GUF,French Guiana,4.04679258955904,-53.23940863366323
GUY,Guyana,5.154661963996489,-58.712311712871156
SUR,Suriname,4.356996014401524,-55.89851203960382
VEN,Venezuela,8.682118052205318,-64.19775773267313
ARG,Argentina,-40.90168367011699,-66.68962193069294
BOL,Bolivia,-16.51526299999994,-65.5858431584157
BRA,Brazil,-2.7865457119711223,-50.99840324752462
CHL,Chile,-49.060033743474335,-73.34156142574244
ECU,Ecuador,-0.898736297929716,-80.0478536633662
PRY,Paraguay,-24.06650065616557,-57.621075881187984
PER,Peru,-7.204728777227654,-73.75129748514837
URY,Uruguay,-32.71674473177314,-56.24971437623749
GTM,Guatemala,15.081171558955994,-90.40832259405927
MEX,Mexico,24.43158907920803,-106.37130499009888
BLZ,Belize,17.602682255175623,-88.27602269306917
COL,Colombia,4.215188734473536,-73.31647554455432
CRI,Costa Rica,9.727946741674266,-83.68530643564343
SLV,El Salvador,13.86694672457255,-88.75683541584144
HND,Honduras,14.881755071557258,-86.5910876732672
NIC,Nicaragua,12.90088463006311,-84.26228170297016
PAN,Panama,8.336462807380833,-80.23599777227709
