id,name,lon,lat
LBR-786,Grand Cape Mount County,-11.02617,7.10795
LBR-1459,Gbarpolu County,-10.29587,7.444558
LBR-787,Lofa County,-9.851101,7.985787
LBR-791,Nimba County,-8.765872,6.833108
LBR-793,Grand Gedeh County,-8.191929,5.907513
LBR-1458,River Gee County,-7.856235,5.257151
LBR-781,Maryland County,-7.790346,4.727075
LBR-784,Bong County,-9.667117,6.936951
LBR-783,Bomi County,-10.80489,6.718137
LBR-788,Montserrado County,-10.57304,6.514325
LBR-789,Margibi County,-10.21609,6.5101
LBR-785,Grand Bassa County,-9.802489,6.226625
LBR-792,River Cess County,-9.384584,5.876002
LBR-782,Sinoe County,-8.847382,5.374918
LBR-780,Grand Kru County,-8.232603,4.824832
