"id","name","lat","lon"
1,"Sha`biyat Nalut",30.3343,10.6245
2,"Nuqat al Khams",32.6661,12.0109
3,"Kufra District",23.7231,22.0744
4,"Murzuq District",24.9977,15.2592
5,"Butnan District",30.069,24.0559
6,"Ajdabiya District",29.0419,21.74
7,"Sha`biyat Wadi ash Shati'",27.8732,12.8352
8,"Ghat District",25.9201,10.4298
9,"Sirte District",30.2021,17.4523
10,"Misrata District",32.2151,15.0186
11,"Murqub Municipality",32.5351,14.1357
12,"Sha`biyat Tarabulus",32.6867,13.5154
13,"Zawiya District",32.4551,12.4868
14,"Darnah",31.8165,22.5845
15,"Jabal al Akhdar",32.0068,21.7222
16,"Marj District",32.1682,21.0132
17,"Benghazi",31.2887,20.6182
18,"Jafara Municipality",32.4889,13.0352
19,"Sha`biyat al Jabal al Gharbi",30.6105,13.2861
20,"Jufra",27.9396,17.299
21,"Sabha District",27.2371,15.1065
22,"Wadi al Hayaa District",26.3564,12.679
