id,name,lon,lat
LCA-5081,Quarter of Gros-Islet,-60.94338,14.06527
LCA-5077,Quarter of Castries,-60.97283,13.97642
LCA-5076,Quarter of Anse-la-Raye,-61.01399,13.92799
LCA-5085,Quarter of Soufriere,-61.03045,13.85483
LCA-5078,Quarter of Choiseul,-61.02529,13.79402
LCA-5082,Quarter of Laborie,-60.98574,13.77464
LCA-5086,Quarter of Vieux-Fort,-60.95223,13.77511
LCA-5083,Quarter of Micoud,-60.92777,13.81489
LCA-5084,Quarter of Praslin,-60.92579,13.86958
LCA-5080,Quarter of Dennery,-60.91893,13.94079
LCA-5079,Quarter of Dauphin,-60.91082,14.02026
