id,name,lon,lat
LVA-5796,Rujienas Novads,25.27165,57.9274
LVA-5791,Mazsalacas Novads,25.02549,57.91413
LVA-5755,Alojas Novads,24.83534,57.79808
LVA-5792,Nauksenu Novads,25.45496,57.90424
LVA-5774,Salacgrivas Novads,24.45972,57.70978
LVA-5782,Apes Novads,26.51053,57.46404
LVA-1077,Valkas Rajons,25.93681,57.71659
LVA-1076,Aluksnes Rajons,27.13711,57.40874
LVA-5742,Vilakas Novads,27.6399,57.18657
LVA-5743,Baltinavas Novads,27.59387,56.92572
LVA-5744,Karsavas Novads,27.64223,56.77079
LVA-5745,Ciblas Novads,27.83648,56.60805
LVA-1065,Ludzas Rajons,27.82796,56.38619
LVA-5746,Zilupes Novads,28.07752,56.30826
LVA-5724,Neretas Novads,25.14706,56.31293
LVA-5733,Viesites Novads,25.5197,56.29745
LVA-5735,Vecumnieku Novads,24.62104,56.51609
LVA-1068,Saldus Rajons,22.36758,56.57684
LVA-5718,Rucavas Novads,21.20781,56.22061
LVA-5715,Priekules Novads,21.55883,56.42492
LVA-5713,Vainodes Novads,21.8229,56.44427
LVA-5740,Auces Novads,22.94916,56.46341
LVA-1079,Bauskas Rajons,24.26956,56.39414
LVA-5739,Tervetes Novads,23.31089,56.43086
LVA-1084,Jelgavas Rajons,23.64841,56.57163
LVA-5738,Rundales Novads,23.9678,56.40271
LVA-5734,Aknistes Novads,25.81531,56.14169
LVA-5749,Ilukstes Novads,26.15052,55.99855
LVA-1081,Daugavpils,26.61933,55.91675
LVA-5747,Dagdas Novads,27.63478,56.12392
LVA-1064,Kraslavas Rajons,27.32466,55.92363
LVA-5717,Nicas Novads,21.08881,56.34704
LVA-4848,Liepaja,21.03984,56.54728
LVA-5716,Grobinas Novads,21.24039,56.49328
LVA-5719,Pavilostas Novads,21.23151,56.80642
LVA-934,Ventspils Rajons,21.86323,57.31938
LVA-4852,Ventspils,21.59369,57.40028
LVA-5721,Dundagas Novads,22.40205,57.56896
LVA-5722,Rojas Novads,22.76546,57.48963
LVA-1091,Talsu Rajons,22.60674,57.25555
LVA-5723,Mersraga Novads,23.04951,57.32566
LVA-5759,Engures Novads,23.29242,57.04836
LVA-5764,Jurmala,23.70165,56.95857
LVA-1094,Riga,24.12097,56.97677
LVA-5758,Carnikavas Novads,24.24561,57.11735
LVA-5776,Saulkrastu Novads,24.41632,57.25095
LVA-1086,Limbazu Rajons,24.68738,57.51986
LVA-5798,Smiltenes Novads,26.0178,57.40895
LVA-1063,Balvu Rajons,27.31109,57.02463
LVA-5795,Strencu Novads,25.78214,57.62841
LVA-5783,Beverinas Novads,25.59053,57.52355
LVA-5784,Burtnieku Novads,25.35331,57.6994
LVA-5788,Kocenu Novads,25.18497,57.53744
LVA-1066,Rezeknes Rajons,27.24211,56.49962
LVA-5797,Vecpiebalgas Novads,25.71195,57.10106
LVA-5799,Raunas Novads,25.76593,57.29422
LVA-5794,Priekulu Novads,25.47606,57.35141
LVA-5793,Pargaujas Novads,25.07242,57.36212
LVA-5768,Krimuldas Novads,24.77971,57.26934
LVA-1083,Gulbenes Rajons,26.59994,57.18236
LVA-5741,Rugaju Novads,27.1009,56.98751
LVA-5787,Jaunpiebalgas Novads,25.97951,57.14941
LVA-5748,Aglonas Novads,27.10627,56.10165
LVA-5752,Riebinu Novads,26.81297,56.36432
LVA-5753,Vilanu Novads,26.88909,56.5541
LVA-5756,Babites Novads,23.75993,56.89962
LVA-5760,Garkalnes Novads,24.38733,57.02721
LVA-5767,Kekavas Novads,24.24518,56.79712
LVA-5771,Marupes Novads,23.94296,56.8844
LVA-5772,Olaines Novads,23.97831,56.77621
LVA-5775,Salaspils Novads,24.32197,56.87489
LVA-5780,Stopinu Novads,24.32378,56.93519
LVA-5777,Sejas Novads,24.54597,57.20836
LVA-5770,Malpils Novads,24.96818,56.99366
LVA-5778,Siguldas Novads,24.89962,57.0839
LVA-1087,Madonas Rajons,26.2749,56.83198
LVA-5790,Lubanas Novads,26.71443,56.90935
LVA-5800,Varaklanu Novads,26.61731,56.63438
LVA-5781,Amatas Novads,25.3309,57.09632
LVA-5786,Erglu Novads,25.68038,56.90001
LVA-5785,Cesvaines Novads,26.2778,57.00872
LVA-1088,Ogres Rajons,25.1263,56.85004
LVA-5773,Ropazu Novads,24.59488,56.96078
LVA-5761,Ikskiles Novads,24.57492,56.85781
LVA-5757,Baldones Novads,24.36046,56.728
LVA-5766,Keguma Novads,24.75326,56.67543
LVA-5736,Iecavas Novads,24.2017,56.6057
LVA-5728,Plavinu Novads,25.71948,56.6824
LVA-5729,Kokneses Novads,25.45319,56.70793
LVA-5730,Aizkraukles Rajons,25.23168,56.64501
LVA-5731,Skriveru Novads,25.09478,56.67132
LVA-5769,Lielvardes Novads,24.95471,56.72097
LVA-5732,Jaunjelgavas Novads,25.28518,56.51375
LVA-1089,Preilu Rajons,26.68606,56.27075
LVA-5750,Livanu Novads,26.34753,56.36901
LVA-5751,Varkavas Novads,26.50004,56.2202
LVA-5725,Jekabpils Rajons,25.99217,56.28479
LVA-5726,Krustpils Novads,26.17699,56.5498
LVA-5727,Salas Novads,25.70594,56.48216
LVA-5714,Aizputes Novads,21.57759,56.71444
LVA-5709,Kuldigas Rajons,21.98482,56.94437
LVA-5710,Alsungas Novads,21.55682,56.98459
LVA-5712,Skrundas Novads,21.98596,56.66034
LVA-5765,Kandavas Novads,22.71056,56.95622
LVA-1092,Tukuma Rajons,23.12035,56.93821
LVA-1082,Dobeles Rajons,23.19268,56.62324
LVA-5763,Jaunpils Novads,22.93996,56.76449
LVA-5711,Brocenu Novads,22.64819,56.70736
LVA-5737,Ozolnieku Novads,23.92473,56.64568
LVA-4849,Jelgava,23.71808,56.64731
LVA-4850,Daugavpils municipality,26.54567,55.89377
LVA-4851,Rezekne,27.3241,56.51852
LVA-5720,Durbes Novads,21.40846,56.61296
LVA-5762,Incukalna Novads,24.64898,57.10135
LVA-5754,Adazu Novads,24.38307,57.10769
LVA-1093,Valmieras Rajons,25.41426,57.53107
LVA-1080,Cesu Rajons,25.42059,57.23477
LVA-5789,Ligatnes Novads,25.06804,57.1799
LVA-1085,Jekabpils,25.86394,56.5079
