id,name,lon,lat
MAR-3457,Guelmim-Es Smara,-9.767558,28.2401
MAR-3456,Laayoune-Boujdour-Sakia El Hamra,-13.27393,25.99634
MAR-3469,Oued ed Dahab-Lagouira,-15.13495,22.95013
MAR-1445,Region de Tanger-Tetouan,-5.431261,35.24503
MAR-1454,Oriental Region,-2.562333,33.44011
MAR-1452,Region de Meknes-Tafilalet,-4.802984,32.07998
MAR-1455,Region de Souss-Massa-Draa,-7.35101,30.49456
MAR-1447,Taza-Al Hoceima-Taounate,-4.10563,34.42275
MAR-1448,Gharb-Chrarda-Beni Hssen,-5.953438,34.51374
MAR-1451,Region de Rabat-Sale-Zemmour-Zaer,-6.367628,33.72604
MAR-1449,Chaouia-Ouardigha,-7.18714,33.03953
MAR-1450,Region du Grand Casablanca,-7.57062,33.53931
MAR-1457,Doukkala-Abda,-8.644709,32.518
MAR-1456,Marrakech-Tensift-Al Haouz,-8.371462,31.6286
MAR-1446,Region de Fes-Boulemane,-4.188537,33.44368
MAR-1453,Tadla-Azilal,-6.439742,32.1428
