id,name,lon,lat
MDA-1613,Raionul Briceni,27.01035,48.28171
MDA-1615,Raionul Edinet,27.30419,48.12076
MDA-1617,Raionul Riscani,27.53869,47.91628
MDA-1621,Raionul Glodeni,27.52686,47.73819
MDA-1620,Raionul Falesti,27.74665,47.56748
MDA-1623,Raionul Ungheni,27.91547,47.30212
MDA-1642,Raionul Nisporeni,28.1971,47.0728
MDA-1639,Raionul Hincesti,28.40942,46.82728
MDA-1641,Raionul Leova,28.41314,46.55268
MDA-1631,Raionul Cantemir,28.31861,46.24578
MDA-1624,Raionul Cahul,28.2796,45.82212
MDA-1616,Raionul Ocnita,27.52913,48.37099
MDA-1614,Raionul Donduseni,27.74587,48.23182
MDA-1653,Raionul Soroca,28.22563,48.12134
MDA-1652,NA,28.66758,48.00873
MDA-1645,NA,29.0886,47.74829
MDA-1628,NA,29.19074,47.30093
MDA-1637,NA,29.44514,47.13275
MDA-1650,Municipiul Bender,29.72062,46.76822
MDA-1651,Raionul Stefan Voda,29.72001,46.5079
MDA-1649,Raionul Causeni,29.28707,46.65134
MDA-1633,Raionul Cimislia,28.82897,46.62423
MDA-1630,Raionul Basarabeasca,28.88642,46.38175
MDA-1625,Raionul Taraclia,28.64706,45.94775
MDA-1626,Unitate Teritoriala Autonoma Gagauzia,28.60778,46.09895
MDA-1634,Raionul Criuleni,29.02037,47.14819
MDA-1647,Raionul Straseni,28.59099,47.16509
MDA-1629,Raionul Anenii Noi,29.22352,46.92473
MDA-1643,Raionul Orhei,28.81668,47.41621
MDA-1638,NA,29.16045,47.26438
MDA-1627,Municipiul Chisinau,28.83767,47.03934
MDA-1648,Raionul Telenesti,28.45133,47.55349
MDA-1646,Raionul Soldanesti,28.69184,47.83917
MDA-1635,Raionul Floresti,28.31567,47.87094
MDA-1644,Raionul Rezina,28.84599,47.68781
MDA-1640,Raionul Ialoveni,28.79911,46.91426
MDA-1632,Raionul Calarasi,28.32776,47.30186
MDA-1619,Raionul Drochia,27.90957,48.02777
MDA-1622,Raionul Singerei,28.14502,47.66233
MDA-1618,Municipiul Balti,27.95957,47.76414
