id,name,lon,lat
MDG-5870,Boeny Region,46.21719,-16.27567
MDG-5880,Sofia Region,48.30499,-15.32091
MDG-5872,Diana Region,48.92698,-13.32785
MDG-5879,Sava Region,49.82866,-14.26438
MDG-5863,Analanjirofo Region,49.38233,-16.34554
MDG-5868,Atsinanana Region,48.70522,-19.09578
MDG-5882,Vatovavy Fitovinany Region,47.8732,-21.37221
MDG-5867,Atsimo-Atsinanana Region,47.25553,-23.28517
MDG-5865,Anosy Region,46.26012,-23.99847
MDG-5864,Androy Region,45.4757,-24.84158
MDG-5866,Atsimo-Andrefana Region,44.4483,-23.11317
MDG-5878,Menabe Region,44.91401,-20.23088
MDG-5876,Melaky Region,44.81569,-17.72628
MDG-5862,Analamanga Region,47.44713,-18.45527
MDG-5869,Betsiboka Region,47.03454,-17.23081
MDG-5871,Bongolava Region,46.19328,-18.58547
MDG-5881,Vakinankaratra Region,46.85599,-19.73729
MDG-5861,Amoron'i Mania Region,46.71369,-20.50669
MDG-5860,Alaotra Mangoro Region,48.34049,-17.93307
MDG-5874,Ihorombe Region,46.13859,-22.55412
MDG-5873,Haute Matsiatra Region,46.58757,-21.48248
MDG-5875,Itasy Region,46.88502,-19.06343
