id,name,lon,lat
MDV-5243,Seenu Atholhu,73.15949,-0.6180537
MDV-5242,Gnaviyani Atholhu,73.43971,-0.2943361
MDV-5241,Gaafu Dhaalu Atholhu,73.11424,0.2865003
MDV-5240,Gaafu Alifu Atholhu,73.43496,0.5923356
MDV-5232,NA,72.86685,3.646964
MDV-5230,Kaafu Atoll,73.51884,4.457733
MDV-5231,Alifu Atholhu,72.92259,4.350032
MDV-5228,Baa Atholhu,73.00628,5.003498
MDV-5229,Lhaviyani Atholhu,73.55635,5.361014
MDV-5226,Raa Atholhu,72.96557,5.716443
MDV-5225,Shaviyani Atholhu,73.12203,6.304491
MDV-5239,Laamu Atholhu,73.48468,1.942163
MDV-5238,Thaa Atholhu,73.29235,2.384469
MDV-5237,Dhaalu Atholhu,72.93916,2.776034
MDV-5236,Meemu Atholhu,73.45443,2.876394
MDV-5233,Faafu Atholhu,72.95938,3.188184
MDV-5235,Vaavu Atholhu,73.61983,3.445511
MDV-5234,Maale,73.50753,4.190778
MDV-5227,Noonu Atoll,73.40419,5.854421
MDV-5224,Haa Dhaalu Atholhu,73.10783,6.724061
MDV-5223,Haa Alifu Atholhu,73.13852,6.909927
