id,name,alcaldia,lon,lat
05-003,AHUEHUETES,GUSTAVO A. MADERO,-99.13135,19.54596
05-004,AIDEE SOLS CRDENAS-MATAS ROMERO (U HAB),GUSTAVO A. MADERO,-99.14669,19.53339
05-005,ARAGON INGUARAN,GUSTAVO A. MADERO,-99.10748,19.47072
05-011,BENITO JUAREZ,GUSTAVO A. MADERO,-99.13941,19.53246
05-014,C T M ARAGON (U),GUSTAVO A. MADERO,-99.05607,19.45269
05-015,C T M ARAGON AMPLIACION (U),GUSTAVO A. MADERO,-99.0535,19.45555
05-018,CAPULTITLAN,GUSTAVO A. MADERO,-99.13365,19.47837
05-027,COCOYOTES (AMPL),GUSTAVO A. MADERO,-99.12796,19.55088
05-029,CONSTITUCION DE LA REPUBLICA,GUSTAVO A. MADERO,-99.10088,19.4834
05-031,CTM ATZACOALCO (U HAB),GUSTAVO A. MADERO,-99.10056,19.50808
05-032,CTM EL RISCO (U HAB),GUSTAVO A. MADERO,-99.096,19.50944
05-035,CUCHILLA DEL TESORO,GUSTAVO A. MADERO,-99.0583,19.44825
05-044,EJIDOS SAN JUAN DE ARAGON 2A SECCION (U HAB),GUSTAVO A. MADERO,-99.0778,19.46575
05-049,EL CARMEN,GUSTAVO A. MADERO,-99.1323,19.54242
05-054,ESTANZUELA,GUSTAVO A. MADERO,-99.10974,19.4905
05-055,ESTRELLA,GUSTAVO A. MADERO,-99.11654,19.47499
05-058,FAJA DE ORO,GUSTAVO A. MADERO,-99.10511,19.46588
05-060,FERROCARRILERA INSURGENTES,GUSTAVO A. MADERO,-99.09237,19.4821
05-061,FOVISSSTE CUCHILLA (U HAB),GUSTAVO A. MADERO,-99.08753,19.47188
05-067,GERTRUDIS SANCHEZ 2A SECCION,GUSTAVO A. MADERO,-99.09942,19.46612
05-069,GRACIANO SANCHEZ,GUSTAVO A. MADERO,-99.14664,19.55773
05-072,GUADALUPE PROLETARIA,GUSTAVO A. MADERO,-99.15573,19.52175
05-076,GUADALUPE VICTORIA II,GUSTAVO A. MADERO,-99.141,19.47191
05-084,INFONAVIT LORETO FABELA (U HAB),GUSTAVO A. MADERO,-99.08023,19.4716
05-088,JOSE MARIA MORELOS Y PAVON I (U HAB),GUSTAVO A. MADERO,-99.09452,19.48392
05-089,JOSE MARIA MORELOS Y PAVON II (U HAB),GUSTAVO A. MADERO,-99.09164,19.47959
05-090,JUAN DE DIOS BATIZ (U HAB),GUSTAVO A. MADERO,-99.12982,19.50378
05-098,LA FORESTAL,GUSTAVO A. MADERO,-99.13122,19.56288
05-099,LA FORESTAL 1,GUSTAVO A. MADERO,-99.12802,19.56762
05-101,LA FORESTAL 3,GUSTAVO A. MADERO,-99.12931,19.56911
05-102,LA JOYA,GUSTAVO A. MADERO,-99.1088,19.45702
05-117,LOS OLIVOS (U HAB),GUSTAVO A. MADERO,-99.08165,19.47311
05-121,MALACATES (AMPL),GUSTAVO A. MADERO,-99.12609,19.58135
05-124,MARTIRES DE RIO BLANCO,GUSTAVO A. MADERO,-99.1137,19.46009
05-125,MARTIRES DE RIO BLANCO (AMPL),GUSTAVO A. MADERO,-99.10645,19.46156
