id,name,lon,lat
0,Milpa Alta,-99.0511,19.13946
1,Benito Jurez,-99.16113,19.38064
2,Gustavo A. Madero,-99.11586,19.50407
3,Coyoacn,-99.15038,19.32667
4,Miguel Hidalgo,-99.20457,19.42806
5,La Magdalena Contreras,-99.26841,19.26898
6,Tlhuac,-99.00282,19.277
7,Azcapotzalco,-99.18211,19.48533
8,Iztacalco,-99.09433,19.39691
9,lvaro Obregn,-99.24682,19.33618
10,Xochimilco,-99.09036,19.24515
11,Venustiano Carranza,-99.09311,19.4305
12,Tlalpan,-99.20622,19.19834
13,Cuajimalpa de Morelos,-99.31073,19.32463
14,Cuauhtmoc,-99.14906,19.43137
15,Iztapalapa,-99.0568,19.34917
