id,name,lon,lat
MKD-4845,Opstina Struga,20.62959,41.26017
MKD-2951,Opstina Centar Zupa,20.58039,41.45686
MKD-2952,Opstina Debar,20.5759,41.51554
MKD-2955,Opstina Mavrovo i Rostusa,20.6832,41.65215
MKD-2962,Opstina Gostivar,20.84917,41.76858
MKD-2895,Opstina Vevcani,20.55651,41.23468
MKD-2898,Opstina Ohrid,20.81909,41.08597
MKD-2899,Opstina Debarca,20.83048,41.30518
MKD-2894,Opstina Resen,21.029,40.99504
MKD-2999,Opstina Novo Selo,22.87653,41.42055
MKD-3000,Opstina Dojran,22.6774,41.22956
MKD-2994,Opstina Valandovo,22.51207,41.3387
MKD-2993,Opstina Strumica,22.62241,41.39643
MKD-2996,Opstina Bogdanci,22.5782,41.18856
MKD-2998,Opstina Gevgelija,22.38686,41.22135
MKD-2936,Opstina Kavadarci,22.01252,41.28587
MKD-2947,Opstina Novaci,21.64041,41.01838
MKD-2903,Opstina Prilep,21.66255,41.27132
MKD-2896,Opstina Bitola,21.2877,41.02757
MKD-2920,Opstina Lipkovo,21.58061,42.16146
MKD-2926,Opstina Cucer-Sandevo,21.39911,42.14282
MKD-2948,Opstina Gjorce Petrov,21.30996,42.04894
MKD-2908,Opstina Saraj,21.24378,41.98601
MKD-2963,Opstina Jegunovce,21.13039,42.09174
MKD-2957,Opstina Tearce,21.03504,42.08834
MKD-2958,Opstina Tetovo,20.88343,42.02821
MKD-2960,Opstina Bogovinje,20.87699,41.93519
MKD-2959,Opstina Vrapciste,20.83882,41.86168
MKD-2906,Opstina Kriva Palanka,22.31076,42.2151
MKD-4846,Opstina Rankovce,22.11933,42.20212
MKD-2910,Opstina Staro Nagoricane,21.89657,42.21606
MKD-2943,Opstina Kumanovo,21.77709,42.07411
MKD-3005,Opstina Delcevo,22.74321,41.93492
MKD-3006,Opstina Makedonska Kamenica,22.53447,42.05315
MKD-3004,Opstina Berovo,22.7941,41.65066
MKD-3007,Opstina Pehcevo,22.88748,41.76879
MKD-2918,Opstina Zelino,21.1264,41.91659
MKD-2961,Opstina Brvenica,21.03936,41.86837
MKD-2944,Opstina Makedonski Brod,21.2114,41.64255
MKD-2956,Opstina Oslomej,21.03466,41.58229
MKD-2909,Opstina Sopiste,21.32265,41.85841
MKD-2935,Opstina Karpos,21.38712,41.98023
MKD-5883,Opstina Suto Orizari,21.40736,42.03149
MKD-2921,Opstina Butel,21.45509,42.06657
MKD-2913,Opstina Cair,21.43628,41.99362
MKD-2923,Opstina Centar,21.42355,41.97395
MKD-2950,Opstina Zajas,20.90197,41.60385
MKD-2928,Opstina Dolneni,21.41446,41.45681
MKD-2941,Opstina Krivogastani,21.36436,41.31225
MKD-2945,Opstina Mogila,21.43025,41.1574
MKD-2922,Opstina Caska,21.58968,41.58794
MKD-2907,Opstina Rosoman,21.90284,41.48661
MKD-2946,Opstina Negotino,22.11781,41.50781
MKD-2953,Opstina Drugovo,20.90732,41.44234
MKD-2929,Opstina Gazi Baba,21.51109,42.01195
MKD-2942,Opstina Krusevo,21.25094,41.36143
MKD-2897,Opstina Demir Hisar,21.13279,41.26287
MKD-2937,Opstina Aerodrom,21.49279,41.95246
MKD-2912,Opstina Studenicani,21.43218,41.81689
MKD-2938,Opstina Kisela Voda,21.48038,41.93085
MKD-2904,Opstina Probistip,22.17016,41.96127
MKD-2925,Opstina Cesinovo,22.2826,41.86663
MKD-2919,Opstina Aracinovo,21.57959,42.02683
MKD-2917,Opstina Zelenikovo,21.56161,41.80948
MKD-2954,Opstina Kicevo,20.95272,41.51351
MKD-2902,Opstina Plasnica,21.11463,41.44385
MKD-2916,Opstina Vranestica,21.05069,41.48922
MKD-2901,Opstina Petrovec,21.69542,41.89724
MKD-2931,Opstina Lozovo,21.90505,41.74495
MKD-2914,Opstina Sveti Nikole,21.95684,41.87965
MKD-2930,Opstina Gradsko,21.89124,41.59401
MKD-2940,Opstina Kratovo,22.11786,42.07051
MKD-2933,Opstina Ilinden,21.61993,41.97787
MKD-2934,Opstina Karbinci,22.27778,41.78032
MKD-2911,Opstina Stip,22.16389,41.68411
MKD-2939,Opstina Kocani,22.39316,41.97447
MKD-2924,Opstina Zrnovci,22.40983,41.8269
MKD-2915,Opstina Veles,21.74329,41.74555
MKD-2927,Opstina Demir Kapija,22.23242,41.37914
MKD-3003,Opstina Vinica,22.56496,41.84834
MKD-2997,Opstina Bosilovo,22.76576,41.47418
MKD-2905,Opstina Radovis,22.48413,41.64584
MKD-2995,Opstina Vasilevo,22.62851,41.53572
MKD-2932,Opstina Konce,22.38206,41.51354
