id,name,lon,lat
MLT-5950,Il-Kalkara,14.5333,35.88996
MLT-5949,Il-Belt Valletta,14.51285,35.89557
MLT-5936,Tas-Sliema,14.50552,35.91091
MLT-5935,Saint Julian,14.49459,35.91862
MLT-5934,Pembroke,14.47788,35.93079
MLT-5928,In-Naxxar,14.4418,35.93472
MLT-5926,Saint Paul's Bay,14.40479,35.9407
MLT-5925,Il-Mellieha,14.35923,35.96027
MLT-5924,L-Imgarr,14.36707,35.91435
MLT-5923,NA,14.38043,35.88314
MLT-5947,Dingli,14.38339,35.85704
MLT-5948,Is-Siggiewi,14.42674,35.84664
MLT-5972,Il-Qrendi,14.44935,35.82837
MLT-5973,Iz-Zurrieq,14.48157,35.82193
MLT-5968,Birzebbuga,14.52031,35.82093
MLT-5963,Marsaxlokk,14.5465,35.83894
MLT-5962,Marsaskala,14.55654,35.85612
MLT-5956,Haz-Zabbar,14.54073,35.87184
MLT-5952,Ix-Xghajra,14.54751,35.88258
MLT-5974,Saint Lawrence,14.19583,36.04666
MLT-5981,Ta' Kercem,14.21599,36.03751
MLT-5984,Il-Munxar,14.2267,36.02526
MLT-5985,Sannat,14.25146,36.01922
MLT-5987,Ghajnsielem,14.28501,36.02479
MLT-5980,Il-Qala,14.31683,36.0345
MLT-5979,In-Nadur,14.2974,36.04512
MLT-5978,Ix-Xaghra,14.27118,36.05173
MLT-5977,Iz-Zebbug,14.24885,36.06305
MLT-5976,L-Ghasri,14.22546,36.05987
MLT-5975,L-Gharb,14.20433,36.06155
MLT-5982,Ir-Rabat,14.24336,36.0411
MLT-5983,Il-Fontana,14.2396,36.03302
MLT-5986,Ix-Xewkija,14.26346,36.02934
MLT-5927,Il-Mosta,14.41841,35.91025
MLT-5929,Lija,14.44046,35.89983
MLT-5920,Attard,14.43043,35.88842
MLT-5922,L-Imtarfa,14.40356,35.8867
MLT-5921,L-Imdina,14.40782,35.88181
MLT-5946,Haz-Zebbug,14.43662,35.87094
MLT-5945,Qormi,14.46702,35.87511
MLT-5933,Is-Swieqi,14.46972,35.91903
MLT-5932,Hal Gharghur,14.45492,35.91892
MLT-5937,Saint John,14.47443,35.90555
MLT-5931,L-Iklin,14.4552,35.90578
MLT-5939,Birkirkara,14.46569,35.89327
MLT-5930,Balzan,14.4523,35.89468
MLT-5943,Saint Venera,14.47725,35.88681
MLT-5944,Il-Hamrun,14.48778,35.88197
MLT-5957,Il-Marsa,14.49173,35.87264
MLT-5964,Luqa,14.4836,35.85229
MLT-5969,L-Imqabba,14.46575,35.84253
MLT-5970,Kirkop,14.48335,35.84131
MLT-5971,Safi,14.49076,35.83154
MLT-5967,Hal Ghaxaq,14.51437,35.84251
MLT-5961,Iz-Zejtun,14.53144,35.85425
MLT-5959,Il-Fgura,14.51938,35.86925
MLT-5960,Tarxien,14.50737,35.86139
MLT-5965,Saint Lucia,14.50187,35.85341
MLT-5966,Il-Gudja,14.5019,35.84502
MLT-5958,Paola,14.50418,35.87246
MLT-5938,Il-Gzira,14.4965,35.90067
MLT-5954,Il-Furjana,14.50268,35.88782
MLT-5941,Ta' Xbiex,14.49439,35.89466
MLT-5953,L-Isla,14.51446,35.88614
MLT-5955,Bormla,14.52044,35.87929
MLT-5942,Tal-Pieta,14.49245,35.88921
MLT-5940,L-Imsida,14.48256,35.89457
MLT-5951,Il-Birgu,14.52341,35.88853
