id,name,lon,lat
MNE-1506,Opstina Herceg Novi,18.54349,42.48475
MNE-1501,Opstina Rozaje,20.19055,42.86041
MNE-1509,Opstina Berane,19.91696,42.85326
MNE-1503,Opstina Plav,19.91726,42.58871
MNE-1516,Opstina Pljevlja,19.24338,43.30093
MNE-1510,Opstina Bijelo Polje,19.74487,43.04668
MNE-1520,Opstina Zabljak,19.17705,43.11778
MNE-1515,Opstina Pluzine,18.84713,43.15726
MNE-1514,Opstina Niksic,18.78259,42.83863
MNE-1507,Opstina Kotor,18.67621,42.48992
MNE-1508,Opstina Andrijevica,19.75613,42.71275
MNE-1517,Opstina Podgorica,19.34178,42.48146
MNE-1496,Opstina Bar,19.13838,42.1705
MNE-1497,Opstina Ulcinj,19.27545,41.99137
MNE-1499,Opstina Budva,18.88663,42.28278
MNE-1518,Opstina Tivat,18.69828,42.41548
MNE-1513,Opstina Mojkovac,19.50821,42.96706
MNE-1500,Opstina Cetinje,18.88356,42.49318
MNE-1519,Opstina Savnik,19.132,42.97768
MNE-1512,Opstina Kolasin,19.43414,42.79855
MNE-1511,Opstina Danilovgrad,19.12193,42.60657
