id,name,lon,lat
MRT-2783,Tiris Zemmour,-9.681951,24.19157
MRT-2785,Dakhlet Nouadhibou,-15.98882,20.83103
MRT-2795,Adrar,-10.21822,21.01316
MRT-2784,Brakna,-13.40168,17.24955
MRT-2788,Wilaya du Trarza,-14.8513,17.91969
MRT-2791,Gorgol,-12.83345,16.0107
MRT-2790,Guidimaka,-12.12866,15.38455
MRT-2796,Hodh ech Chargui,-7.099889,18.18167
MRT-2797,Hodh el Gharbi,-9.832085,16.56788
MRT-2789,Assaba,-11.53675,16.58091
MRT-2786,Inchiri,-15.1119,19.99276
MRT-2787,District de Nouakchott,-15.90961,18.14494
MRT-2798,Tagant,-10.39301,18.57347
