id,name,lon,lat
MUS-5192,Riviere du Rempart District,57.65087,-20.06059
MUS-5187,Pamplemousses District,57.5698,-20.09911
MUS-5190,NA,57.49704,-20.15157
MUS-5193,Black River District,57.40709,-20.33935
MUS-5195,Savanne District,57.51721,-20.4618
MUS-5185,Grand Port District,57.66603,-20.39076
MUS-5184,Flacq District,57.71075,-20.21845
MUS-5180,Agalega Islands,56.54554,-10.36217
MUS-5194,Rodrigues,63.41048,-19.71254
MUS-5186,Moka District,57.59135,-20.25901
MUS-5188,Plaines Wilhems District,57.51809,-20.33716
MUS-5181,NA,57.47288,-20.23723
MUS-5189,Port Louis District,57.51934,-20.16473
MUS-5191,NA,57.48045,-20.26899
MUS-5196,Plaines Wilhems District,57.48924,-20.30039
MUS-5183,Plaines Wilhems District,57.51952,-20.32216
