id,name,lon,lat
MWI-1194,Karonga District,34.11038,-10.07762
MWI-1903,Rumphi District,33.99753,-10.79736
MWI-1901,Nkhata Bay District,34.28683,-11.59152
MWI-5509,Likoma District,34.66233,-12.04433
MWI-1873,Chitipa District,33.49105,-9.960065
MWI-1900,Mzimba District,33.63303,-11.75636
MWI-1899,Kasungu District,33.38307,-12.97877
MWI-1911,Mchinji District,33.05368,-13.69599
MWI-1902,Nkhotakota District,34.20822,-12.79459
MWI-1914,Salima District,34.51225,-13.71609
MWI-1910,Mangochi District,35.13397,-14.26378
MWI-1904,Machinga District,35.567,-14.93575
MWI-1907,Dedza District,34.25852,-14.24988
MWI-1909,Lilongwe District,33.68371,-14.01542
MWI-1919,Nsanje District,35.13612,-16.77332
MWI-1916,Chikwawa District,34.69636,-16.16627
MWI-1922,Mwanza District,34.57265,-15.69635
MWI-5510,Neno District,34.67899,-15.42197
MWI-1912,Ntcheu District,34.70941,-14.80574
MWI-1920,Zomba District,35.4349,-15.40765
MWI-1924,Phalombe District,35.68489,-15.69784
MWI-1923,Mulanje District,35.4992,-15.94645
MWI-1918,Thyolo District,35.13921,-16.10741
MWI-1908,Dowa District,33.80293,-13.58207
MWI-1915,Balaka District,35.08134,-15.02976
MWI-1917,Chiradzulu District,35.2233,-15.75209
MWI-1921,Blantyre District,34.95602,-15.68248
MWI-1913,Ntchisi District,33.90768,-13.30431
