id,name,lon,lat
NGA-2879,Kebbi State,4.49584,11.76479
NGA-2851,Niger State,5.598631,9.941237
NGA-2849,Kwara State,4.372946,8.983949
NGA-2852,Ogun State,3.462129,7.00081
NGA-2856,Oyo State,3.615215,8.143477
NGA-2850,Lagos State,3.55244,6.522545
NGA-2839,Borno State,13.17122,11.89067
NGA-2881,Adamawa State,12.43446,9.345386
NGA-2848,Taraba State,10.82664,8.027558
NGA-2846,Benue State,8.754654,7.324702
NGA-2847,Cross River State,8.581738,5.866224
NGA-2871,Sokoto State,5.31439,13.03165
NGA-2872,Zamfara State,6.258542,12.0913
NGA-2873,Yobe State,11.43172,12.30316
NGA-2870,Katsina State,7.630363,12.3774
NGA-2868,Jigawa State,9.550366,12.21573
NGA-2853,Ondo State,5.159507,6.91112
NGA-2860,Delta State,5.958749,5.716493
NGA-2845,Bayelsa State,6.104225,4.774527
NGA-2844,Rivers State,6.908537,4.880035
NGA-2842,Akwa Ibom State,7.840896,4.917156
NGA-2841,Abia State,7.510369,5.452126
NGA-2863,Ebonyi State,8.001854,6.265842
NGA-2857,Anambra State,6.925373,6.19867
NGA-2861,Edo,5.911651,6.626084
NGA-2858,Bauchi State,9.9881,10.77537
NGA-2866,Plateau State,9.547109,9.209677
NGA-2867,Nassarawa State,8.1902,8.502637
NGA-2859,Gombe State,11.24445,10.40371
NGA-2862,Enugu State,7.420872,6.533177
NGA-2865,Kogi State,6.694702,7.728412
NGA-2855,Osun State,4.535782,7.534433
NGA-2843,Imo State,7.047579,5.550294
NGA-2854,Ekiti State,5.312716,7.704273
NGA-2864,Kaduna State,7.699753,10.3575
NGA-2869,Kano State,8.513425,11.73566
NGA-3470,Federal Capital Territory,7.142554,8.861321
